policy_id,sub_sector,region,policy_year,premium_usd,had_claim,n_claims,total_loss,bi_loss,log_revenue,cyber_control_score,vendor_control_pressure,prior_incident_score,limit_mm,retention_mm,predicted_claim_probability,expected_claim_frequency,expected_claim_severity,pure_premium,technical_premium_template,premium_gap,indicated_to_current_ratio,actual_loss_ratio,simulated_VaR_95,simulated_VaR_99,risk_adjusted_technical_premium
POL-2020011,Insurance Carrier,Midwest,2024,9828117,0,0.0,0.0,0.0,8.411388132519262,0.8555,37.94117647058824,0.0,15,0.136,0.14252,0.14243,5078606.44,723331.95,1607404.33,-8220712.67,0.16355,0.0,5950284.627949702,10824874.553262161,2148648.057663108
POL-2020012,Insurance Carrier,National,2022,934284,0,0.0,0.0,0.0,7.507964463882813,0.9082500000000001,5.333333333333333,0.0,2,0.094,0.14458,0.14448,4325466.66,624949.38,1388776.4,454492.4,1.48646,0.0,2000000.0,2404075.7886118954,1508980.1894305947
POL-2020013,Community Bank,West,2022,472877,1,1.0,3559508.0,1638723.0,4.516338972281476,0.6200000000000001,20.0,0.0,100,2.026,0.21596,0.21581,1157834.49,249874.75,555277.21,82400.21,1.17425,7.52734,1930130.3451391538,3885240.818241465,749539.2509120732
POL-2020014,Fintech-Lending,Northeast,2022,482388,0,0.0,0.0,0.0,6.478202375344883,0.639,4.864864864864865,0.0,2,0.069,0.14727,0.14717,682877.41,100498.91,223330.91,-259057.09,0.46297,0.0,865952.6952342852,1879368.339414854,317299.3269707427
POL-2020015,Custodian Bank,West,2024,25749272,0,0.0,0.0,0.0,8.716699572964293,0.7615,11.25,0.0,50,0.847,0.14958,0.14948,531387.61,79430.02,176511.15,-25572760.85,0.00685,0.0,654745.6684745114,1124806.9970069895,232751.49985034947
POL-2020016,Asset Manager,West,2021,1883463,0,0.0,0.0,0.0,7.383119514469969,0.7254999999999999,15.26315789473684,0.0,5,0.237,0.16687,0.16676,1251696.37,208727.61,463839.13,-1419623.87,0.24627,0.0,1527580.8418776921,3108349.635924844,619256.6117962422
POL-2020017,Community Bank,Northeast,2024,130069,0,0.0,0.0,0.0,4.489759334476764,0.5670000000000001,16.956521739130434,0.6931471805599453,10,0.471,0.21292,0.21278,299456.54,63717.29,141593.97,11524.97,1.08861,0.0,387135.30084973003,877481.2447492507,185468.03223746252
POL-2020018,Fintech-Lending,Southeast,2020,187317,0,0.0,0.0,0.0,4.789988622980633,0.742,11.904761904761907,0.6931471805599453,5,0.091,0.21871,0.21856,3849213.48,841281.32,1869514.05,1682197.05,9.98048,0.0,4827417.445468493,5000000.0,2119514.05
POL-2020019,Hedge Fund,Northeast,2023,334556,0,0.0,0.0,0.0,5.297817241506355,0.90725,1.627906976744186,0.0,10,0.31,0.12992,0.12983,321033.67,41680.72,92623.82,-241932.18,0.27686,0.0,341436.6559983011,818213.8005413348,133534.51002706675
POL-2020020,Fintech-Lending,Northeast,2020,1760339,1,1.0,11190.0,1093.0,4.935193098929397,0.71875,63.714285714285715,0.0,250,8.258,0.24885,0.24868,909574.66,226192.4,502649.79,-1257689.21,0.28554,0.00636,1505991.213539044,2739587.9548186245,639629.1877409312
POL-2020021,Regional Bank,Southeast,2021,461743,0,0.0,0.0,0.0,5.976604684200958,0.6385000000000001,6.296296296296296,0.6931471805599453,5,0.031,0.19153,0.1914,1047009.13,200397.69,445328.19,-16414.81,0.96445,0.0,1517621.5720507225,2816916.225950829,586174.0012975414
POL-2020022,Asset Manager,Southeast,2024,2091437,0,0.0,0.0,0.0,7.023491777464733,0.61925,20.0,0.0,15,0.488,0.16966,0.16955,1550643.62,262904.74,584232.75,-1507204.25,0.27935,0.0,1695564.414248293,3662623.126802812,767363.9063401406
POL-2020023,Fintech-Lending,Midwest,2020,64877,0,0.0,0.0,0.0,4.751000634199631,0.626,4.583333333333334,0.0,1,0.033,0.22238,0.22223,1199479.13,266557.31,592349.59,527472.59,9.13035,0.0,1000000.0,1507323.577896072,667715.7688948036
POL-2020024,Insurance Carrier,Midwest,2024,7379924,0,0.0,0.0,0.0,8.336558211551488,0.63825,10.625,1.0986122886681098,10,0.314,0.20512,0.20498,742958.58,152294.32,338431.82,-7041492.18,0.04586,0.0,1017349.6500721795,2104090.619172252,443636.35095861263
POL-2020025,Hedge Fund,West,2022,1005581,0,0.0,0.0,0.0,6.111689044414351,0.6375000000000001,9.51219512195122,0.6931471805599453,10,0.194,0.25647,0.25629,289891.42,74296.94,165104.32,-840476.68,0.16419,0.0,502474.2312859608,916134.0259498104,210911.02129749052
POL-2020026,Regional Bank,West,2021,5142654,0,0.0,0.0,0.0,6.635290172335217,0.9365,4.468085106382979,0.6931471805599453,100,3.878,0.11815,0.11807,1939325.77,228980.66,508845.91,-4633808.09,0.09895,0.0,1673695.7559858474,4286134.816194834,723152.6508097417
POL-2020027,Hedge Fund,Southwest,2024,173485,0,0.0,0.0,0.0,5.496758305221874,0.76275,26.538461538461537,0.0,2,0.084,0.14359,0.1435,193383.7,27749.7,61665.99,-111819.01,0.35545,0.0,204040.63630295717,507612.94212090934,87046.63710604547
POL-2020028,Community Bank,Northeast,2020,413549,0,0.0,0.0,0.0,5.608738925969307,0.9055000000000001,2.8571428571428577,0.0,10,0.389,0.10329,0.10322,465549.04,48055.49,106789.98,-306759.02,0.25823,0.0,416964.45370215975,1024536.1358554318,158016.7867927716
POL-2020029,Community Bank,West,2020,55535,0,0.0,0.0,0.0,4.275276264727001,0.543,49.0,1.3862943611198906,5,0.048,0.3095,0.30929,904692.22,279809.66,621799.23,566264.23,11.19653,0.0,1642260.591583288,2698946.9198870864,756746.5759943543
POL-2020030,Broker-Dealer,Southeast,2020,571877,0,0.0,0.0,0.0,5.719983853994209,0.89525,6.136363636363637,0.0,10,0.4,0.06663,0.06658,5580318.63,371561.31,825691.81,253814.81,1.44383,0.0,1361547.2774017658,8966930.912780616,1274038.355639031
POL-2020031,Hedge Fund,National,2022,430268,0,0.0,0.0,0.0,6.22098770538623,0.81425,12.162162162162161,0.0,2,0.036,0.20872,0.20857,999224.82,208412.28,463138.39,32870.39,1.0764,0.0,1296234.4192339676,2000000.0,563138.39
POL-2020032,Credit Union,Midwest,2020,65773,1,1.0,470635.0,202962.0,4.3054155323020415,0.771,22.1875,0.0,5,0.127,0.1756,0.17548,430907.24,75614.93,168033.17,102260.17,2.55474,7.15544,679165.4809177599,1063182.1818565645,221192.27909282825
POL-2020033,Custodian Bank,West,2021,5622277,0,0.0,0.0,0.0,8.051054085272654,0.718,1.8918918918918919,1.0986122886681098,10,0.488,0.1077,0.10763,247920.89,26683.95,59297.67,-5562979.33,0.01055,0.0,166506.4934336819,439447.9320077603,81270.06660038802
POL-2020034,Credit Union,West,2024,31040,0,0.0,0.0,0.0,3.4965075614664802,0.755,9.6875,0.0,5,0.235,0.21347,0.21333,177188.01,37798.89,83997.54,52957.54,2.70611,0.0,290184.0391967434,525356.4073229099,110265.3603661455
POL-2020035,Credit Union,National,2020,274154,0,0.0,0.0,0.0,5.007965065540377,0.6279999999999999,10.689655172413794,0.0,15,0.659,0.26477,0.26459,405596.05,107315.79,238479.53,-35674.47,0.86987,0.0,664425.8024645546,1173338.7853815581,297146.4692690779
POL-2020036,Investment Bank,Southeast,2024,70953772,0,0.0,0.0,0.0,8.982184278838428,0.7709999999999999,11.363636363636365,0.0,100,3.523,0.14862,0.14851,6004707.0,891784.48,1981743.28,-68972028.72,0.02793,0.0,6414992.260374908,14875874.15505199,2725536.9877525996
POL-2020037,Fintech-Payments,Midwest,2023,1038035,0,0.0,0.0,0.0,6.002157176646725,0.86075,8.604651162790699,0.0,15,0.347,0.18652,0.18639,725049.57,135141.17,300313.71,-737721.29,0.28931,0.0,942133.5340770171,1943483.8482917822,397487.90241458913
POL-2020038,Fintech-Lending,Midwest,2023,276588,0,0.0,0.0,0.0,4.314817884980432,0.57775,16.11111111111111,0.0,25,0.517,0.22526,0.22511,2586559.85,582260.99,1293913.31,1017325.31,4.67813,0.0,2946883.5697784377,5964825.253904022,1592154.5726952013
POL-2020039,Community Bank,Midwest,2021,71494,0,0.0,0.0,0.0,4.3294166844015844,0.67875,14.0625,0.0,5,0.099,0.19749,0.19736,2459242.86,485349.97,1078555.49,1007061.49,15.08596,0.0,3337840.0638862923,5002333.987155372,1328672.1893577687
POL-2020040,Asset Manager,West,2020,823709,1,1.0,405495.0,0.0,7.369915730766847,0.47475000000000006,24.999999999999996,0.0,2,0.025,0.20645,0.20631,921137.03,190038.59,422307.98,-401401.02,0.51269,0.49228,1331563.2327413952,2000458.0074515708,522330.8803725785
POL-2020041,Investment Bank,Southwest,2024,47546400,0,0.0,0.0,0.0,8.917243666822904,0.66825,7.894736842105263,0.0,50,0.434,0.13433,0.13424,3612431.44,484919.36,1077598.58,-46468801.42,0.02266,0.0,3342283.25559131,8061034.07219811,1480650.2836099055
POL-2020042,Insurance Carrier,National,2021,79408735,0,0.0,0.0,0.0,9.483606532693603,0.8450000000000001,15.294117647058824,0.0,100,2.16,0.12569,0.1256,4695934.63,589828.31,1310729.59,-78098005.41,0.01651,0.0,2673413.40978187,9417558.248214066,1781607.5024107033
POL-2020043,Community Bank,Southeast,2023,70241,0,0.0,0.0,0.0,3.883623530906448,0.7,4.634146341463415,0.6931471805599453,15,0.33,0.14113,0.14104,669697.0,94451.75,209892.78,139651.78,2.98818,0.0,830402.4832804032,1852758.4517933943,302530.70258966973
POL-2020044,Broker-Dealer,Southwest,2022,2566583,0,0.0,0.0,0.0,6.608944848742513,0.90525,4.8,0.6931471805599453,25,0.785,0.09703,0.09697,4587762.29,444861.09,988580.2,-1578002.8,0.38517,0.0,2434365.698922531,10422730.297496323,1509716.7148748161
POL-2020045,Asset Manager,Midwest,2021,1713211,1,1.0,210858.0,63685.0,6.5807778239227135,0.6665,7.096774193548387,1.3862943611198906,25,0.297,0.16971,0.16959,5163048.47,875622.74,1945828.31,232617.31,1.13578,0.12308,6785575.432285971,11188293.553295393,2505242.98766477
POL-2020046,Regional Bank,Southeast,2021,218936,0,0.0,0.0,0.0,5.907811162110729,0.8610000000000001,4.166666666666667,0.0,2,0.094,0.10506,0.10498,1654661.69,173713.77,386030.61,167094.61,1.76321,0.0,1692818.0537337547,2000000.0,486030.61
POL-2020047,Fintech-Lending,Southeast,2020,238228,0,0.0,0.0,0.0,3.7376696182833684,0.8115,5.7142857142857135,0.6931471805599453,50,0.899,0.115,0.11492,2196777.34,252460.18,561022.63,322794.63,2.35498,0.0,1475865.1637145923,4597630.507011831,790904.1553505915
POL-2020048,Broker-Dealer,National,2020,1288112,0,0.0,0.0,0.0,7.018222732008108,0.83825,68.23529411764706,0.0,5,0.118,0.12409,0.124,4347578.26,539104.18,1198009.29,-90102.71,0.93005,0.0,5000000.0,5000000.0,1448009.29
POL-2020049,Credit Union,National,2020,130984,0,0.0,0.0,0.0,4.180522258463153,0.7405000000000002,8.78048780487805,0.0,25,1.02,0.24629,0.24612,605128.14,148933.62,330963.6,199979.6,2.52675,0.0,906306.9763666338,1726613.815489543,417294.2907744771
POL-2020050,Credit Union,West,2024,49456,0,0.0,0.0,0.0,4.079230924412053,0.8150000000000001,23.25,0.6931471805599453,5,0.11,0.16934,0.16922,115187.85,19491.99,43315.54,-6140.46,0.87584,0.0,116646.08473214746,283245.9747793911,57477.838738969556
POL-2020051,Community Bank,National,2021,54355,1,1.0,37128.0,15439.0,3.0726933146901194,0.59025,35.65217391304348,0.6931471805599453,25,0.282,0.28012,0.27993,838834.0,234813.61,521808.03,467453.03,9.6,0.68307,1511833.9520312354,2749150.3496498805,659265.547482494
POL-2020052,Community Bank,Southeast,2022,15587,0,0.0,0.0,0.0,3.879499813722586,0.88925,11.25,0.6931471805599453,1,0.044,0.13615,0.13605,191412.96,26042.3,57871.78,42284.78,3.71282,0.0,202995.0983888919,428782.9428014543,79310.92714007272
POL-2020053,Investment Bank,West,2024,1613262,1,1.0,2146685.0,446431.0,8.055379929354201,0.45475,42.285714285714285,0.0,1,0.025,0.25374,0.25357,579030.51,146822.53,326272.29,-1286989.71,0.20224,1.33065,948305.5930866738,1106755.5680865732,381610.06840432866
POL-2020054,National Bank,National,2020,1422889470,0,0.0,0.0,0.0,11.48964046123352,0.7057499999999999,16.857142857142858,0.6931471805599453,250,9.087,0.17073,0.17062,5305121.09,905141.4,2011425.32,-1420878044.68,0.00141,0.0,7188875.569342897,12518932.283200921,2637371.9341600463
POL-2020055,Asset Manager,Southwest,2022,311047,0,0.0,0.0,0.0,6.857303735486039,0.6887500000000001,3.58974358974359,0.6931471805599453,1,0.025,0.14545,0.14535,484781.97,70462.09,156582.43,-154464.57,0.5034,0.0,476920.79136129806,1000000.0,206582.43
POL-2020056,Custodian Bank,National,2024,15675741,0,0.0,0.0,0.0,8.708177121288845,0.57875,4.583333333333334,0.6931471805599453,25,0.283,0.20018,0.20004,298244.27,59660.42,132578.72,-15543162.28,0.00846,0.0,435139.7161803439,867696.1274409066,175963.52637204534
POL-2020057,Community Bank,Midwest,2022,96478,0,0.0,0.0,0.0,4.669083511731744,0.77225,10.357142857142856,0.0,5,0.249,0.20773,0.20759,358438.48,74407.45,165349.88,68871.88,1.71386,0.0,490469.6195942383,1049834.8680960743,217841.62340480371
POL-2020058,Regional Bank,National,2024,291724,1,1.0,541634.0,143759.0,6.1235887000350235,0.484,4.333333333333333,1.0986122886681098,2,0.025,0.2856,0.28541,3196102.35,912196.87,2027104.15,1735380.15,6.94871,1.85667,2000000.0,4000000.0,2227104.15
POL-2020059,Regional Bank,West,2021,652023,0,0.0,0.0,0.0,6.228708222800973,0.6865000000000001,2.8205128205128207,0.0,10,0.234,0.19751,0.19737,2008869.75,396493.7,881097.1,229074.1,1.35133,0.0,2419402.2173687364,4466402.595780336,1104417.2297890168
POL-2020060,Community Bank,Midwest,2024,21785,0,0.0,0.0,0.0,3.696351468952637,0.79475,9.666666666666666,0.0,2,0.026,0.17693,0.17681,1060690.05,187539.22,416753.81,394968.81,19.13031,0.0,1474066.9982207548,2000000.0,516753.81
POL-2020061,Broker-Dealer,Midwest,2023,830257,0,0.0,0.0,0.0,7.25749623831794,0.65175,5.357142857142857,0.0,2,0.091,0.11664,0.11656,3097876.26,361075.15,802389.22,-27867.78,0.96643,0.0,2000000.0,2331599.43487997,918969.1917439984
POL-2020062,Hedge Fund,National,2020,815679,0,0.0,0.0,0.0,6.3875524934035495,0.6645,2.8571428571428568,0.6931471805599453,5,0.085,0.20144,0.2013,943261.79,189881.63,421959.18,-393719.82,0.51731,0.0,1326365.392875648,2443135.9930010494,544115.9796500525
POL-2020063,Asset Manager,Southwest,2023,3841150,0,0.0,0.0,0.0,7.036588150825105,0.649,59.677419354838705,0.0,50,1.207,0.19112,0.19099,702317.36,134135.53,298078.95,-3543071.05,0.0776,0.0,886241.7804142088,1854168.0497641142,390787.3524882057
POL-2020064,Community Bank,Midwest,2024,58357,0,0.0,0.0,0.0,4.04305126783455,0.8212499999999999,2.162162162162162,0.0,5,0.029,0.08931,0.08925,378421.14,33773.94,75053.19,16696.19,1.2861,0.0,186225.30818972437,646620.2024803298,107384.2001240165
POL-2020065,Fintech-Lending,Midwest,2021,562539,0,0.0,0.0,0.0,5.515040350059324,0.8337500000000001,8.787878787878787,0.6931471805599453,10,0.32,0.20695,0.20681,1734990.36,358813.49,797363.31,234824.31,1.41744,0.0,2633714.4523614496,4753260.27724057,1035026.3238620285
POL-2020066,Asset Manager,West,2022,412439,0,0.0,0.0,0.0,5.938327448694853,0.7217500000000001,2.8205128205128207,0.0,5,0.113,0.13879,0.1387,579423.8,80364.29,178587.31,-233851.69,0.433,0.0,620671.358256235,1222075.19140843,239691.0695704215
POL-2020067,Asset Manager,Northeast,2021,1356547,1,1.0,4463169.0,3093442.0,6.452364362104247,0.7102499999999999,37.89473684210526,0.6931471805599453,15,0.41,0.18949,0.18936,864666.25,163731.08,363846.85,-992700.15,0.26822,3.2901,1038075.7306901233,2240629.1510542594,475878.30755271297
POL-2020068,Community Bank,Southwest,2024,80270,0,0.0,0.0,0.0,4.12552017969055,0.6652499999999999,19.166666666666668,0.6931471805599453,10,0.316,0.16157,0.16146,706716.61,114108.73,253574.96,173304.96,3.15903,0.0,857043.5193167386,1895474.1843608487,348348.6692180424
POL-2020069,Community Bank,Northeast,2022,196424,1,1.0,31953.0,25242.0,4.724729421045731,0.49949999999999994,12.702702702702702,1.0986122886681098,15,0.244,0.24789,0.24772,997106.44,247000.42,548889.82,352465.82,2.79441,0.16267,1739473.883070282,3539034.581714624,725841.5490857312
POL-2020070,Community Bank,Northeast,2023,104971,0,0.0,0.0,0.0,4.237000862623624,0.69575,13.75,0.6931471805599453,10,0.194,0.15379,0.15368,91329.18,14035.83,31190.73,-73780.27,0.29714,0.0,85042.75737580148,217125.38093887753,42046.99904694388
POL-2020071,Community Bank,West,2024,54389,1,1.0,69852.0,0.0,5.122772794033106,0.6467499999999999,2.058823529411765,1.3862943611198906,1,0.041,0.20425,0.20411,385965.12,78778.68,175063.74,120674.74,3.21873,1.2843,668150.0511488235,1000000.0,225063.74
POL-2020072,Regional Bank,Midwest,2020,1923082,0,0.0,0.0,0.0,7.089743446874854,0.6657500000000001,34.0,0.0,10,0.266,0.18448,0.18435,1349211.65,248728.27,552729.49,-1370352.51,0.28742,0.0,1906025.1814053943,3477693.7414277955,726614.1770713897
POL-2020073,Regional Bank,Southeast,2020,125887,0,0.0,0.0,0.0,5.969218938160663,0.614,5.3125,1.0986122886681098,1,0.025,0.19737,0.19724,6011836.81,1185757.94,2635017.65,2509130.65,20.93161,0.0,1000000.0,2000000.0,2735017.65
POL-2020074,Community Bank,West,2024,59329,1,1.0,84405.0,60193.0,3.8753590210565547,0.54225,15.714285714285714,0.0,10,0.496,0.20835,0.2082,260996.27,54340.68,120757.06,61428.06,2.03538,1.42266,361167.9414718928,758942.5591216185,158704.18795608092
POL-2020075,Hedge Fund,Southeast,2023,512016,0,0.0,0.0,0.0,5.401776074916267,0.8604999999999999,23.61111111111111,0.0,10,0.076,0.11891,0.11883,1041220.15,123726.64,274948.09,-237067.91,0.53699,0.0,1008768.9142771697,2432131.0829545087,396554.6441477255
POL-2020076,Community Bank,National,2024,22068,0,0.0,0.0,0.0,4.139955073474153,0.8272499999999999,2.3684210526315788,0.0,1,0.032,0.16166,0.16155,630424.36,101847.24,226327.2,204259.2,10.2559,0.0,705903.7143182866,1000000.0,276327.2
POL-2020077,Insurance Carrier,Southwest,2023,34041307,0,0.0,0.0,0.0,8.709382567408541,0.47275,15.454545454545453,0.0,100,2.177,0.17664,0.17652,1316962.19,232466.35,516591.89,-33524715.11,0.01518,0.0,1696752.72544036,3239748.91648294,678579.335824147
POL-2020078,Credit Union,Midwest,2021,21316,0,0.0,0.0,0.0,3.758871825933971,0.638,20.54054054054054,0.6931471805599453,2,0.071,0.2299,0.22975,221739.46,50943.62,113208.05,91892.05,5.31094,0.0,273320.6797906135,579213.0291529967,142168.70145764985
POL-2020079,Asset Manager,West,2022,7427551,0,0.0,0.0,0.0,7.225918058687505,0.51225,7.5675675675675675,0.6931471805599453,100,3.887,0.23781,0.23765,1504911.66,357636.34,794747.43,-6632803.57,0.107,0.0,2461891.733372185,4358570.814084978,1012675.970704249
POL-2020080,Broker-Dealer,National,2020,5346919,0,0.0,0.0,0.0,6.677083461247136,0.76925,23.191489361702132,0.0,100,3.343,0.10705,0.10698,6707451.96,717572.96,1594606.58,-3752312.42,0.29823,0.0,5308678.715835508,17709760.0707337,2480094.583536685
POL-2020081,Community Bank,West,2024,466161,0,0.0,0.0,0.0,4.72384171570559,0.5535,10.37037037037037,0.0,50,0.481,0.28507,0.28487,749520.11,213515.75,474479.45,8318.45,1.01784,0.0,1385736.05521643,2601988.8916265927,604578.8945813297
POL-2020082,Investment Bank,Southwest,2022,18548775,0,0.0,0.0,0.0,8.273260025894471,0.9317500000000002,5.8,0.6931471805599453,50,1.956,0.09469,0.09462,1360205.24,128706.17,286013.72,-18262761.28,0.01542,0.0,1247304.5915377445,2912629.532352858,431645.1966176429
POL-2020083,Asset Manager,Northeast,2022,214612,0,0.0,0.0,0.0,6.060524083039477,0.8045000000000001,14.871794871794872,0.0,2,0.082,0.16946,0.16934,926161.66,156835.75,348523.89,133911.89,1.62397,0.0,1412465.3974616155,2000761.5250238364,448561.96625119186
POL-2020084,Asset Manager,West,2024,996196,0,0.0,0.0,0.0,6.737915499690239,0.59775,8.709677419354838,0.6931471805599453,5,0.087,0.30253,0.30233,684753.57,207018.65,460041.44,-536154.56,0.4618,0.0,1275338.836181162,2476635.9740708303,583873.2387035415
POL-2020085,Insurance Carrier,National,2020,6675041,0,0.0,0.0,0.0,8.264929741528176,0.858,3.8461538461538463,0.0,10,0.397,0.12645,0.12636,986407.73,124644.23,276987.18,-6398053.82,0.0415,0.0,1117527.7692595709,2691395.6770062675,411556.96385031333
POL-2020086,Investment Bank,Southwest,2021,31188870,0,0.0,0.0,0.0,8.202783771036776,0.6925,5.625,0.0,100,1.402,0.17138,0.17126,8369628.99,1433373.73,3185274.95,-28003595.05,0.10213,0.0,10161501.024648545,21955959.21106473,4283072.9105532365
POL-2020087,Fintech-Lending,Southeast,2023,323298,0,0.0,0.0,0.0,5.091908014224992,0.688,13.333333333333332,0.6931471805599453,10,0.32,0.23765,0.23749,3433165.59,815327.05,1811837.89,1488539.89,5.60423,0.0,5688838.836956379,10000000.0,2311837.8899999997
POL-2020088,Fintech-Lending,Midwest,2022,7837937,0,0.0,0.0,0.0,6.799501693541883,0.7755,12.1875,0.0,100,3.661,0.16225,0.16214,2219582.1,359876.22,799724.94,-7038212.06,0.10203,0.0,2549756.7131273434,5205527.607999915,1060001.3203999957
POL-2020089,Hedge Fund,West,2023,783707,0,0.0,0.0,0.0,5.8766147054290405,0.7965,28.055555555555554,0.6931471805599453,10,0.36,0.17995,0.17983,499388.52,89802.63,199561.4,-584145.6,0.25464,0.0,701619.8857515783,1409051.6780340748,270013.98390170373
POL-2020090,Community Bank,Northeast,2021,86929,0,0.0,0.0,0.0,4.986342601527212,0.6475,8.0,0.0,2,0.025,0.17882,0.1787,263783.29,47136.82,104748.48,17819.48,1.20499,0.0,363399.60285901045,777852.98170052,143641.12908502598
POL-2020091,National Bank,Southwest,2021,89847975,0,0.0,0.0,0.0,9.512709066079587,0.7485,2.7450980392156863,0.6931471805599453,100,4.423,0.13197,0.13188,4059309.54,535326.51,1189614.46,-88658360.54,0.01324,0.0,4529776.742343918,9215934.915458106,1650411.2057729051
POL-2020092,Regional Bank,Midwest,2021,731439,0,0.0,0.0,0.0,5.776103136235827,0.6577500000000001,6.341463414634147,0.0,25,0.89,0.13107,0.13098,1149452.83,150560.61,334579.14,-396859.86,0.45743,0.0,1129414.549202787,2883879.155498469,478773.09777492343
POL-2020093,Fintech-Lending,West,2024,178059,0,0.0,0.0,0.0,4.432006566978902,0.8170000000000001,8.0,0.0,10,0.376,0.15815,0.15804,2166000.74,342308.35,760685.22,582626.22,4.2721,0.0,2537196.1446043532,5117575.213647586,1016563.9806823793
POL-2020094,Insurance Carrier,Southwest,2022,20664567,1,1.0,139925.0,4058.0,8.88527483093659,0.61625,7.0,0.0,25,0.273,0.15247,0.15237,1477421.62,225114.18,500253.74,-20164313.26,0.02421,0.00677,1708737.4660840302,3474679.0034727193,673987.690173636
POL-2020095,Regional Bank,Southeast,2020,555904,1,1.0,733763.0,322839.0,6.357322200621367,0.5250000000000001,10.909090909090908,0.6931471805599453,5,0.141,0.25959,0.25941,679656.24,176307.93,391795.39,-164108.61,0.70479,1.31995,1014291.5426690762,1966447.635276581,490117.77176382905
POL-2020096,Community Bank,Southwest,2020,58732,0,0.0,0.0,0.0,4.334672938290411,0.6637500000000001,2.0689655172413794,0.6931471805599453,5,0.078,0.14519,0.14509,168063.17,24383.95,54186.55,-4545.45,0.92261,0.0,165670.88563254548,426531.34148517024,75513.11707425851
POL-2020097,Asset Manager,Midwest,2020,3000740,0,0.0,0.0,0.0,7.305121008833652,0.7195,11.5,0.0,15,0.395,0.2042,0.20406,3319765.48,677417.99,1505373.31,-1495366.69,0.50167,0.0,4849887.575236815,10429200.412697207,2026833.3306348603
POL-2020098,Insurance Carrier,Northeast,2023,49156138,0,0.0,0.0,0.0,8.09052487565697,0.9575000000000001,2.7450980392156863,0.0,500,23.512,0.09567,0.09561,1296083.57,123916.5,275370.01,-48880767.99,0.0056,0.0,916260.8459908856,2934990.1142850816,422119.5157142541
