policy_id,sub_sector,primary_regulator,region,policy_year,revenue_mm,employees,assets_mm,limit_mm,retention_mm,premium_usd,has_trading_desk,processes_payments,custodial_aum_bn,core_banking_vendor,n_third_party_vendors,cloud_provider_primary,mfa_coverage_pct,edr_deployed,soc_24_7,control_maturity_nist,prior_incidents_3yr,had_claim,log_revenue,log_employees,control_gap,vendor_risk,retention_ratio,regulator_mismatch,strong_controls
POL-2020011,8,1,0,2024,4497.0,43202,7382.1,15,0.136,9828117,0,False,0.0,-1,129,4,96.6,1,1,3.3,0,0,8.411388132519262,10.673665216265492,1.7000000000000002,4.386000000000004,0.009066666666666667,0,1
POL-2020012,8,1,1,2022,1821.5,13543,3064.0,2,0.094,934284,0,False,0.0,-1,24,2,82.5,1,1,4.4,0,0,7.507964463882813,9.51369892381297,0.5999999999999996,4.200000000000001,0.047,0,1
POL-2020013,2,5,5,2022,90.5,494,1183.9,100,2.026,472877,0,True,0.0,4,54,4,84.8,1,0,2.6,0,1,4.516338972281476,6.20455776256869,2.4,8.208000000000002,0.020259999999999997,0,0
POL-2020014,5,6,2,2022,649.8,3141,1575.3,2,0.069,482388,0,False,0.0,-1,18,0,60.4,1,0,3.6,0,0,6.478202375344883,8.052614818815567,1.4,7.128,0.0345,0,0
POL-2020015,4,3,5,2024,6103.0,18057,82779.1,50,0.847,25749272,0,False,27.6,5,27,3,91.0,1,1,2.3,0,0,8.716699572964293,9.801344078867425,2.7,2.4299999999999993,0.01694,0,1
POL-2020016,0,0,5,2021,1607.6,4189,4549.1,5,0.237,1883463,1,False,15.2,-1,29,4,92.6,1,1,1.8,0,0,7.383119514469969,8.340456012916183,3.2,2.1460000000000017,0.0474,0,1
POL-2020017,2,5,2,2024,88.1,214,1056.4,10,0.471,130069,0,True,0.0,3,39,0,76.4,1,0,2.2,1,0,4.489759334476764,5.3706380281276624,2.8,9.203999999999999,0.047099999999999996,0,0
POL-2020018,5,0,3,2020,119.3,829,312.6,5,0.091,187317,0,False,0.0,-1,50,3,85.6,1,0,4.1,1,0,4.789988622980633,6.721425700790643,0.9000000000000004,7.200000000000001,0.0182,0,0
POL-2020019,7,7,2,2023,198.9,723,384.1,10,0.31,334556,1,False,0.0,-1,7,4,88.5,1,1,4.2,0,0,5.297817241506355,6.584791392385716,0.7999999999999998,0.8049999999999999,0.031,0,1
POL-2020020,5,7,2,2020,138.1,724,152.4,250,8.258,1760339,0,False,0.0,-1,223,4,98.7,1,0,3.4,0,1,4.935193098929397,6.586171654854675,1.6,2.8990000000000027,0.033032,0,0
POL-2020021,11,7,3,2021,393.1,1501,5445.2,5,0.031,461743,0,True,0.0,4,17,4,92.2,1,0,2.6,1,0,5.976604684200958,7.31455283232408,2.4,1.3259999999999992,0.0062,1,0
POL-2020022,0,5,3,2024,1121.7,8685,2821.9,15,0.488,2091437,0,False,0.8,-1,22,1,75.7,1,1,1.0,0,0,7.023491777464733,9.069467813094768,4.0,5.346,0.03253333333333333,0,1
POL-2020023,5,0,0,2020,114.7,206,125.1,1,0.033,64877,0,False,0.0,-1,11,4,96.8,1,0,2.3,0,0,4.751000634199631,5.332718793265369,2.7,0.3520000000000003,0.033,0,0
POL-2020024,8,2,0,2024,4172.7,15392,8975.3,10,0.314,7379924,0,False,0.0,-1,34,1,96.1,0,1,3.1,2,0,8.336558211551488,9.641668139610074,1.9,1.3260000000000012,0.0314,0,0
POL-2020025,7,3,5,2022,450.1,1482,471.0,10,0.194,1005581,1,False,0.0,-1,39,0,67.0,0,1,4.0,1,0,6.111689044414351,7.301822342137932,1.0,12.87,0.0194,0,0
POL-2020026,11,2,5,2021,760.5,2183,11357.0,100,3.878,5142654,0,True,0.0,1,21,0,87.4,1,1,4.6,1,0,6.635290172335217,7.688913336864796,0.40000000000000036,2.6459999999999977,0.03878,1,1
POL-2020027,7,0,4,2024,242.9,976,677.9,2,0.084,173485,1,False,0.0,-1,69,1,85.1,1,1,2.5,0,0,5.496758305221874,6.884486652042782,2.5,10.281000000000002,0.042,0,1
POL-2020028,2,1,2,2020,271.8,1760,3676.7,10,0.389,413549,0,True,0.0,1,12,1,91.0,1,1,4.1,0,0,5.608738925969307,7.473637108496206,0.9000000000000004,1.0799999999999996,0.038900000000000004,0,1
POL-2020029,2,4,5,2020,70.9,362,915.1,5,0.048,55535,0,True,0.0,3,98,2,76.4,1,0,1.9,3,0,4.275276264727001,5.8944028342648505,3.1,23.128,0.009600000000000001,0,0
POL-2020030,1,6,3,2020,303.9,911,561.7,10,0.4,571877,0,False,0.0,-1,27,2,80.5,1,1,4.3,0,0,5.719983853994209,6.815639990074331,0.7000000000000002,5.264999999999999,0.04,0,1
POL-2020031,7,0,1,2022,502.2,1923,726.8,2,0.036,430268,1,False,0.0,-1,45,2,70.5,1,1,3.6,0,0,6.22098770538623,7.562161631225652,1.4,13.275000000000002,0.018,0,1
POL-2020032,3,4,0,2020,73.1,522,158.5,5,0.127,65773,0,True,0.0,0,71,0,69.2,1,1,3.1,0,1,4.3054155323020415,6.259581464064923,1.9,21.867999999999995,0.0254,0,1
POL-2020033,4,3,5,2021,3136.1,9259,40415.3,10,0.488,5622277,0,False,9.3,0,7,0,92.0,1,0,3.6,2,0,8.051054085272654,9.133459327640225,1.4,0.5599999999999997,0.048799999999999996,0,0
POL-2020034,3,4,5,2024,32.0,266,34.9,5,0.235,31040,0,True,0.0,2,31,4,62.8,1,1,3.1,0,0,3.4965075614664802,5.58724865840025,1.9,11.532,0.047,0,1
POL-2020035,3,4,1,2020,148.6,569,445.7,15,0.659,274154,0,True,0.0,0,31,2,81.6,1,0,2.8,0,0,5.007965065540377,6.345636360828596,2.2,5.7040000000000015,0.04393333333333334,0,0
POL-2020036,9,5,3,2024,7959.0,18414,83626.3,100,3.523,70953772,0,False,0.0,6,50,0,90.8,1,0,4.3,0,0,8.982184278838428,9.820920828879165,0.7000000000000002,4.600000000000004,0.035230000000000004,0,0
POL-2020037,6,7,0,2023,403.3,2432,426.5,15,0.347,1038035,0,True,0.0,-1,37,1,69.9,1,1,4.2,0,0,6.002157176646725,7.796880342783522,0.7999999999999998,11.136999999999997,0.023133333333333332,0,1
POL-2020038,5,0,0,2023,73.8,420,189.5,25,0.517,276588,0,False,0.0,-1,29,2,96.7,1,0,1.7,0,0,4.314817884980432,6.042632833682381,3.3,0.9569999999999976,0.02068,0,0
POL-2020039,2,1,0,2021,74.9,298,725.1,5,0.099,71494,0,True,0.0,4,45,3,92.3,1,0,3.1,0,0,4.3294166844015844,5.700443573390687,1.9,3.465000000000003,0.0198,0,0
POL-2020040,0,6,5,2020,1586.5,5307,2470.5,2,0.025,823709,1,False,3.6,-1,30,4,74.7,1,0,1.1,0,1,7.369915730766847,8.576970395452099,3.9,7.59,0.0125,0,0
POL-2020041,9,3,4,2024,7458.5,48303,107746.3,50,0.434,47546400,1,False,0.0,0,30,3,88.9,0,1,3.7,0,0,8.917243666822904,10.78526965194662,1.2999999999999998,3.3299999999999996,0.00868,0,0
POL-2020042,8,0,1,2021,13141.5,46422,32787.3,100,2.16,79408735,0,False,0.0,-1,52,0,92.4,1,1,3.3,0,0,9.483606532693603,10.745550305055986,1.7000000000000002,3.9519999999999977,0.0216,0,1
POL-2020043,2,3,3,2023,47.6,132,488.1,15,0.33,70241,0,True,0.0,6,19,4,72.0,1,0,4.0,1,0,3.883623530906448,4.890349128221754,1.0,5.32,0.022000000000000002,0,0
POL-2020044,1,2,4,2022,740.7,2099,1380.2,25,0.785,2566583,1,False,0.0,-1,24,3,65.3,1,1,4.9,1,0,6.608944848742513,7.649692623711514,0.09999999999999964,8.328,0.031400000000000004,0,1
POL-2020045,0,3,0,2021,720.1,2618,1130.7,25,0.297,1713211,1,False,2.8,-1,22,3,90.6,1,0,3.0,3,1,6.5807778239227135,7.870547844507712,2.0,2.068000000000002,0.01188,0,0
POL-2020046,11,2,3,2021,366.9,1793,4403.3,2,0.094,218936,0,True,0.0,0,15,0,92.4,1,1,3.5,0,0,5.907811162110729,7.492203042618741,1.5,1.1399999999999992,0.047,1,1
POL-2020047,5,6,3,2020,41.0,181,53.7,50,0.899,238228,0,False,0.0,-1,16,4,98.2,1,1,2.7,1,0,3.7376696182833684,5.204006687076795,2.3,0.28800000000000026,0.01798,0,1
POL-2020048,1,6,1,2020,1115.8,3341,3190.1,5,0.118,1288112,0,False,0.0,-1,232,3,89.7,1,1,3.3,0,0,7.018222732008108,8.114324709155339,1.7000000000000002,23.895999999999994,0.0236,0,1
POL-2020049,3,4,1,2020,64.4,245,85.5,25,1.02,130984,0,True,0.0,1,36,3,88.2,1,0,4.0,0,0,4.180522258463153,5.5053315359323625,1.0,4.247999999999999,0.0408,0,0
POL-2020050,3,4,5,2024,58.1,210,93.1,5,0.11,49456,0,True,0.0,6,93,1,61.2,1,1,3.9,1,0,4.079230924412053,5.351858133476067,1.1,36.084,0.022,0,1
POL-2020051,2,4,1,2021,20.6,45,254.2,25,0.282,54355,0,True,0.0,2,82,2,85.7,1,0,2.2,1,1,3.0726933146901194,3.828641396489095,2.8,11.726,0.011279999999999998,0,0
POL-2020052,2,3,3,2022,47.4,346,651.7,1,0.044,15587,0,True,0.0,6,45,1,90.9,1,1,3.9,1,0,3.879499813722586,5.849324779946859,1.1,4.094999999999999,0.044,0,1
POL-2020053,9,3,5,2024,3149.7,14864,29201.4,1,0.025,1613262,1,False,0.0,3,148,0,73.1,0,0,3.4,0,1,8.055379929354201,9.606764735432199,1.6,39.812000000000005,0.025,0,0
POL-2020054,10,1,1,2020,97697.4,408269,1265246.8,250,9.087,1422889470,0,True,0.0,3,59,3,93.5,1,0,3.4,1,0,11.48964046123352,12.919683999222473,1.6,3.834999999999997,0.036348,0,0
POL-2020055,0,0,4,2022,949.8,10488,1586.5,1,0.025,311047,1,False,16.2,-1,14,1,73.9,1,0,3.8,1,0,6.857303735486039,9.258082367961604,1.2000000000000002,3.6539999999999986,0.025,0,0
POL-2020056,4,5,1,2024,6051.2,13267,87161.0,25,0.283,15675741,0,False,7.3,6,11,1,97.9,0,1,2.3,1,0,8.708177121288845,9.493110400066943,2.7,0.23099999999999898,0.011319999999999998,0,0
POL-2020057,2,7,0,2022,105.6,306,1284.9,5,0.249,96478,0,True,0.0,5,29,4,82.5,1,1,2.7,0,0,4.669083511731744,5.726847747587197,2.3,5.075000000000001,0.0498,0,1
POL-2020058,11,1,1,2024,455.5,5093,5089.3,2,0.025,291724,0,True,0.0,0,13,0,40.8,0,1,2.9,2,1,6.1235887000350235,8.535818655539403,2.1,7.6960000000000015,0.0125,0,0
POL-2020059,11,1,5,2021,506.1,2825,4602.0,10,0.234,652023,0,True,0.0,2,11,4,73.0,1,0,3.8,0,0,6.228708222800973,7.946617563244473,1.2000000000000002,2.97,0.0234,0,0
POL-2020060,2,3,0,2024,39.3,163,379.9,2,0.026,21785,0,True,0.0,0,29,3,85.1,1,1,2.9,0,0,3.696351468952637,5.099866427824199,2.1,4.321000000000001,0.013,0,1
POL-2020061,1,6,0,2023,1417.7,4359,1660.2,2,0.091,830257,1,False,0.0,-1,15,3,94.3,1,0,2.7,0,0,7.25749623831794,8.38022733634308,2.3,0.8550000000000008,0.0455,0,0
POL-2020062,7,0,1,2020,593.4,4017,1079.3,5,0.085,815679,1,False,0.0,-1,8,2,39.4,1,1,2.7,1,0,6.3875524934035495,8.29853954537488,2.3,4.848000000000001,0.017,0,1
POL-2020063,0,4,4,2023,1136.5,4758,1747.2,50,1.207,3841150,1,False,9.3,-1,185,1,83.6,1,0,3.0,0,0,7.036588150825105,8.46779284112111,2.0,30.340000000000007,0.02414,0,0
POL-2020064,2,6,0,2024,56.0,164,494.2,5,0.029,58357,0,True,0.0,5,8,1,73.3,1,1,3.6,0,0,4.04305126783455,5.10594547390058,1.4,2.136,0.0058000000000000005,0,1
POL-2020065,5,0,0,2021,247.4,1466,334.2,10,0.32,562539,0,False,0.0,-1,29,0,91.1,1,1,3.2,1,0,5.515040350059324,7.2909747781429814,1.7999999999999998,2.581000000000002,0.032,0,1
POL-2020066,0,6,5,2022,378.3,1909,603.1,5,0.113,412439,1,False,1.8,-1,11,1,87.1,1,0,3.8,0,0,5.938327448694853,7.554858521040676,1.2000000000000002,1.419,0.022600000000000002,0,0
POL-2020067,0,4,2,2021,633.2,2659,768.2,15,0.41,1356547,1,False,0.6,-1,72,0,86.5,1,1,1.8,1,1,6.452364362104247,7.886081401775745,3.2,9.72,0.02733333333333333,0,1
POL-2020068,2,0,4,2024,60.9,157,526.2,10,0.316,80270,0,True,0.0,3,69,3,74.1,1,0,3.5,1,0,4.12552017969055,5.062595033026967,1.5,17.871000000000002,0.0316,0,0
POL-2020069,2,0,2,2022,111.7,623,1066.6,15,0.244,196424,0,True,0.0,3,47,3,84.6,0,0,3.6,2,1,4.724729421045731,6.436150368369428,1.4,7.238000000000001,0.016266666666666665,0,0
POL-2020070,2,6,2,2023,68.2,275,563.3,10,0.194,104971,0,True,0.0,5,33,1,64.7,1,1,2.3,1,0,4.237000862623624,5.62040086571715,2.7,11.649,0.0194,0,1
POL-2020071,2,5,5,2024,166.8,786,2065.2,1,0.041,54389,0,True,0.0,4,7,1,73.1,1,0,3.3,3,1,5.122772794033106,6.668228248417403,1.7000000000000002,1.883,0.041,0,0
POL-2020072,11,3,0,2020,1198.6,3898,16919.1,10,0.266,1923082,0,True,0.0,2,102,0,93.5,1,0,2.9,0,0,7.089743446874854,8.268475388982598,2.1,6.629999999999995,0.026600000000000002,0,0
POL-2020073,11,5,3,2020,390.2,1044,5819.5,1,0.025,125887,0,True,0.0,2,17,3,86.4,0,1,3.1,2,0,5.969218938160663,6.951772164398911,1.9,2.3119999999999985,0.025,0,0
POL-2020074,2,2,5,2024,47.2,120,689.1,10,0.496,59329,0,True,0.0,6,44,4,70.5,0,1,2.7,0,1,3.8753590210565547,4.795790545596741,2.3,12.980000000000002,0.0496,0,0
POL-2020075,7,1,3,2023,220.8,684,611.1,10,0.076,512016,0,False,0.0,-1,85,1,92.2,1,1,3.5,0,0,5.401776074916267,6.529418838262226,1.5,6.629999999999996,0.0076,0,1
POL-2020076,2,4,1,2024,61.8,268,534.0,1,0.032,22068,0,True,0.0,1,9,4,72.5,1,1,3.7,0,0,4.139955073474153,5.594711379601839,1.2999999999999998,2.475,0.032,0,1
POL-2020077,8,2,4,2023,6058.5,22578,14824.2,100,2.177,34041307,0,False,0.0,-1,17,0,77.1,1,0,1.0,0,0,8.709382567408541,10.024775549743328,4.0,3.8930000000000016,0.02177,0,0
POL-2020078,3,4,0,2021,41.9,137,64.3,2,0.071,21316,0,True,0.0,1,76,3,80.0,0,1,3.6,1,0,3.758871825933971,4.927253685157205,1.4,15.199999999999996,0.0355,0,0
POL-2020079,0,4,5,2022,1373.6,8224,3793.5,100,3.887,7427551,1,False,73.5,-1,28,0,89.7,0,0,3.6,1,0,7.225918058687505,9.014933575633572,1.4,2.8839999999999995,0.03887,0,0
POL-2020080,1,6,1,2020,793.0,3231,1798.5,100,3.343,5346919,0,False,0.0,-1,109,2,80.5,1,0,4.6,0,0,6.677083461247136,8.080856419640986,0.40000000000000036,21.254999999999995,0.03343,0,0
POL-2020081,2,3,5,2024,111.6,480,1430.2,50,0.481,466161,0,True,0.0,6,28,4,78.2,0,1,2.6,0,0,4.72384171570559,6.175867270105761,2.4,6.103999999999999,0.00962,0,0
POL-2020082,9,3,4,2022,3916.7,18218,31940.2,50,1.956,18548775,1,False,0.0,4,29,4,75.9,1,1,4.9,1,0,8.273260025894471,9.810220284565686,0.09999999999999964,6.989,0.03912,0,1
POL-2020083,0,7,2,2022,427.6,1593,1009.6,2,0.082,214612,0,False,1.6,-1,58,3,60.2,1,1,3.8,0,0,6.060524083039477,7.374001859350161,1.2000000000000002,23.084,0.041,0,1
POL-2020084,0,5,5,2024,842.8,2063,1532.8,5,0.087,996196,1,False,89.1,-1,27,1,83.1,0,1,3.0,1,0,6.737915499690239,7.6324011266014535,2.0,4.563000000000001,0.0174,0,0
POL-2020085,8,2,1,2020,3884.2,18651,9796.1,10,0.397,6675041,0,False,0.0,-1,15,1,81.6,1,1,3.8,0,0,8.264929741528176,9.833708657928211,1.2000000000000002,2.7600000000000007,0.0397,0,1
POL-2020086,9,1,4,2021,3650.1,30006,30841.4,100,1.402,31188870,0,False,0.0,3,9,2,89.0,1,1,1.5,0,0,8.202783771036776,10.309185966759637,3.5,0.9899999999999999,0.01402,0,1
POL-2020087,5,0,3,2023,161.7,245,386.5,10,0.32,323298,0,False,0.0,-1,44,3,92.8,1,0,3.2,1,0,5.091908014224992,5.5053315359323625,1.7999999999999998,3.168000000000003,0.032,0,0
POL-2020088,5,6,0,2022,896.4,3553,913.9,100,3.661,7837937,0,False,0.0,-1,39,0,71.0,1,1,3.1,0,0,6.799501693541883,8.175829008714597,1.9,11.310000000000002,0.036610000000000004,0,1
POL-2020089,7,0,5,2023,355.6,929,497.9,10,0.36,783707,1,False,0.0,-1,101,4,66.6,1,1,3.5,1,0,5.8766147054290405,6.835184586147301,1.5,33.73400000000001,0.036,0,1
POL-2020090,2,7,2,2021,145.4,469,1720.5,2,0.025,86929,0,True,0.0,4,28,4,70.2,1,0,3.4,0,0,4.986342601527212,6.152732694704104,1.6,8.343999999999998,0.0125,0,0
POL-2020091,10,5,4,2021,13529.6,44594,200658.3,100,4.423,89847975,0,True,0.0,0,14,3,79.4,0,1,5.0,1,0,9.512709066079587,10.705377024100308,0.0,2.8839999999999995,0.04423,0,0
POL-2020092,11,6,0,2021,321.5,1611,2641.0,25,0.89,731439,0,True,0.0,1,26,4,55.1,1,0,4.0,0,0,5.776103136235827,7.385230923066573,1.0,11.674,0.0356,1,0
POL-2020093,5,0,5,2024,83.1,740,228.3,10,0.376,178059,0,False,0.0,-1,28,0,78.0,1,1,3.4,0,0,4.432006566978902,6.608000625296087,1.6,6.159999999999999,0.0376,0,1
POL-2020094,8,1,4,2022,7223.8,39428,20357.1,25,0.273,20664567,0,False,0.0,-1,21,1,73.7,1,0,2.9,0,1,8.88527483093659,10.582256865150118,2.1,5.523000000000001,0.010920000000000001,0,0
POL-2020095,11,3,3,2020,575.7,3522,6995.1,5,0.141,555904,0,True,0.0,1,24,4,62.8,1,0,2.1,1,1,6.357322200621367,8.167068178341237,2.9,8.928,0.028199999999999996,0,0
POL-2020096,2,2,4,2020,75.3,364,691.9,5,0.078,58732,0,True,0.0,1,6,1,95.9,1,0,2.8,1,0,4.334672938290411,5.8998973535824915,2.2,0.24599999999999955,0.0156,0,0
POL-2020097,0,3,0,2020,1486.9,9698,4069.0,15,0.395,3000740,1,False,13.1,-1,46,3,83.0,1,0,3.9,0,0,7.305121008833652,9.179778066393542,1.1,7.820000000000002,0.026333333333333334,0,0
POL-2020098,8,4,2,2023,3262.4,12383,6572.0,500,23.512,49156138,0,False,0.0,-1,14,1,83.0,1,1,5.0,0,0,8.09052487565697,9.424160595829509,0.0,2.380000000000001,0.047024,0,1
POL-2020099,2,6,2,2022,71.2,195,616.4,15,0.53,145822,0,True,0.0,1,55,0,52.2,0,0,4.0,1,0,4.279440045898781,5.278114659230517,1.0,26.29,0.035333333333333335,0,0
POL-2020100,5,7,1,2022,285.6,2987,303.0,25,1.103,1090969,0,False,0.0,-1,31,1,78.0,1,0,2.2,0,0,5.6580875153940715,8.002359546252707,2.8,6.819999999999999,0.04412,0,0
POL-2020101,8,6,4,2021,8414.6,37989,24859.7,50,2.499,28738416,0,False,0.0,-1,18,0,88.8,1,0,3.7,0,0,9.037842405330865,10.54507824618167,1.2999999999999998,2.016,0.049980000000000004,0,0
POL-2020102,11,2,3,2022,782.8,5038,10634.1,5,0.207,865166,0,True,0.0,5,12,3,89.7,0,1,2.0,1,0,6.664153885765531,8.524962928680598,3.0,1.2359999999999998,0.0414,1,0
POL-2020103,0,4,0,2022,333.6,717,382.4,50,1.09,1221714,0,False,4.7,-1,123,2,92.1,1,1,2.8,0,0,5.812935788552724,6.576469569048224,2.2,9.71700000000001,0.0218,0,1
POL-2020104,11,7,5,2021,624.9,1433,7658.4,15,0.467,1239468,0,True,0.0,4,8,0,79.4,1,1,3.0,1,0,6.439190613930656,7.2682230211595655,2.0,1.6479999999999997,0.031133333333333336,1,1
POL-2020105,0,6,1,2023,1131.7,4197,1712.9,15,0.143,2208518,1,False,16.9,-1,15,2,95.9,1,1,3.6,1,0,7.032359442206668,8.342363500380579,1.4,0.6149999999999989,0.009533333333333333,0,1
POL-2020106,11,1,1,2024,350.8,1282,3251.9,2,0.026,218049,0,True,0.0,5,145,4,78.3,0,1,3.4,0,0,5.8630628323034575,7.1569563646156364,1.6,31.46500000000001,0.013,0,0
POL-2020107,9,5,5,2021,12417.2,59989,176193.2,250,8.018,204483838,1,False,0.0,2,37,4,86.1,1,0,2.1,1,1,9.426918417448228,11.00193316064714,2.9,5.143000000000001,0.032072,0,0
POL-2020108,8,3,4,2024,2086.6,7417,4690.1,15,0.526,3526639,0,False,0.0,-1,89,0,96.7,1,0,2.9,0,0,7.643770359769258,8.911664758049536,2.1,2.9369999999999927,0.03506666666666667,0,0
POL-2020109,3,4,4,2022,92.8,377,135.8,5,0.162,81289,0,True,0.0,6,29,1,84.6,0,1,2.5,0,1,4.541164856012179,5.934894195619588,2.5,4.466000000000001,0.0324,0,0
POL-2020110,8,2,2,2024,5681.0,35340,6863.9,100,4.961,30360505,0,False,0.0,-1,52,4,95.5,1,1,2.6,0,0,8.645058562414134,10.472799042021169,2.4,2.340000000000002,0.04961,0,1
POL-2020111,1,6,3,2020,448.4,1817,932.7,5,0.205,496184,1,False,0.0,-1,43,0,94.8,1,1,2.1,1,0,6.107913359751229,7.505492274737424,2.9,2.236000000000002,0.040999999999999995,0,1
POL-2020112,7,5,3,2021,862.6,4080,1832.7,2,0.052,557834,1,False,0.0,-1,14,1,86.2,1,0,2.4,0,1,6.761109698640652,8.314097335405807,2.6,1.9320000000000002,0.026,0,0
POL-2020113,11,5,5,2020,1217.3,6212,13141.0,5,0.234,1122910,0,True,0.0,4,35,0,59.6,1,1,3.6,1,1,7.1052117233603616,8.734399150063695,1.4,14.14,0.0468,0,1
POL-2020114,8,4,0,2024,4278.2,21601,6871.9,1,0.037,1390561,0,False,0.0,-1,17,3,71.8,1,1,3.8,0,0,8.36152135521704,9.980541181978419,1.2000000000000002,4.7940000000000005,0.037,0,1
POL-2020115,2,6,4,2024,282.4,718,3241.6,25,0.705,774125,0,True,0.0,3,35,0,74.6,1,1,3.7,0,0,5.64685932725658,6.577861357721047,1.2999999999999998,8.89,0.0282,0,1
POL-2020116,9,5,0,2020,2685.5,9327,39824.0,50,1.814,14384873,0,False,0.0,1,78,1,55.4,1,1,2.9,0,1,7.895994510168876,9.140775908590273,2.1,34.788000000000004,0.03628,0,1
POL-2020117,1,2,5,2024,155.4,637,176.6,5,0.058,180604,1,False,0.0,-1,34,4,97.3,1,0,2.6,0,1,5.052416828111211,6.45833828334479,2.4,0.9180000000000008,0.011600000000000001,0,0
POL-2020118,5,0,3,2024,251.4,732,578.3,2,0.029,214441,0,False,0.0,-1,27,4,92.4,1,1,2.8,0,0,5.5310151306670585,6.597145701886651,2.2,2.0519999999999987,0.0145,0,1
POL-2020119,9,3,1,2020,6567.1,20433,98354.7,100,0.78,56456221,0,False,0.0,6,46,0,82.7,1,1,5.0,0,0,8.789979876351318,9.924955459151368,0.0,7.957999999999997,0.0078000000000000005,0,1
POL-2020120,9,1,0,2022,5070.8,30130,55266.2,100,1.376,41490853,1,False,0.0,5,51,4,86.0,0,0,3.0,0,0,8.531451063162937,10.313309821085701,2.0,7.140000000000001,0.01376,0,0
POL-2020121,3,4,5,2024,118.7,345,169.8,2,0.025,59773,0,True,0.0,2,32,1,97.9,1,1,5.0,0,0,4.784988612563928,5.846438775057725,0.0,0.671999999999997,0.0125,0,1
POL-2020122,11,2,4,2024,309.1,1216,3502.8,25,0.49,890273,0,True,0.0,5,11,3,66.0,0,0,3.4,1,0,5.736894826106403,7.104144092987527,1.6,3.7399999999999998,0.0196,1,0
POL-2020123,1,2,0,2024,491.7,4082,529.5,100,1.646,4031944,1,False,0.0,-1,30,2,78.8,0,1,3.5,0,0,6.199900469549918,8.314587291319576,1.5,6.360000000000002,0.01646,0,0
POL-2020124,2,3,1,2021,79.0,233,915.3,5,0.059,77969,0,True,0.0,3,27,0,86.5,1,1,3.4,0,0,4.382026634673881,5.455321115357702,1.6,3.6450000000000005,0.0118,0,1
POL-2020125,10,1,5,2023,8912.5,24169,112561.3,100,2.074,71602392,0,True,0.0,0,23,0,63.7,1,0,3.8,0,0,9.095322260391915,10.09286747369753,1.2000000000000002,8.349,0.020739999999999998,0,0
POL-2020126,11,3,5,2020,1149.7,3397,10853.0,15,0.497,2163634,0,True,0.0,6,41,4,69.8,1,0,5.0,2,0,7.048125731829413,8.130942302231878,0.0,12.382000000000001,0.033133333333333334,0,0
