policy_id,insured_id,system_class,stated_rto_hours,stated_rpo_hours,revenue_dependency_pct,has_hot_dr_site,third_party_dependency,last_dr_test_date
POL-2020019,INS-10019,Market Data Infrastructure,3.3,1.3,17.5,True,None,2023-03-29
POL-2020019,INS-10019,Email & Productivity,29.8,22.3,4.2,False,Multi-Vendor,2024-07-22
POL-2020019,INS-10019,Settlement & Clearing,6.3,1.8,25.2,False,None,2023-01-24
POL-2020020,INS-10020,Payment Processing,7.7,1.8,41.8,True,Single Vendor,2024-05-24
POL-2020020,INS-10020,Customer Digital Channels,12.1,6.9,20.7,False,Multi-Vendor,2024-10-19
POL-2020020,INS-10020,Email & Productivity,24.9,13.9,3.9,False,None,2024-11-20
POL-2020020,INS-10020,Back-Office/ERP,18.5,11.8,4.5,False,Single Vendor,2024-07-25
POL-2020021,INS-10021,Core Banking Platform,4.8,1.8,44.9,False,None,2024-11-14
POL-2020021,INS-10021,Back-Office/ERP,35.5,8.4,4.9,True,None,2024-11-07
POL-2020021,INS-10021,Email & Productivity,29.5,13.9,2.0,False,Multi-Vendor,2024-03-31
POL-2020021,INS-10021,Payment Processing,5.6,1.1,33.9,True,None,2024-02-17
POL-2020021,INS-10021,Customer Digital Channels,8.9,5.0,12.8,False,None,2023-11-23
POL-2020022,INS-10022,Email & Productivity,47.8,16.3,1.9,False,Multi-Vendor,2023-11-27
POL-2020022,INS-10022,Back-Office/ERP,33.7,14.7,6.1,False,Single Vendor,2024-01-17
POL-2020023,INS-10023,Payment Processing,6.4,0.9,33.8,False,Single Vendor,2024-12-15
POL-2020023,INS-10023,Customer Digital Channels,13.6,5.8,26.3,False,Multi-Vendor,2023-10-12
POL-2020023,INS-10023,Email & Productivity,25.4,12.2,3.9,True,Multi-Vendor,2023-01-01
POL-2020023,INS-10023,Back-Office/ERP,36.3,5.6,4.4,False,Multi-Vendor,2024-03-16
POL-2020024,INS-10024,Email & Productivity,43.6,8.8,1.8,False,None,2024-12-07
POL-2020024,INS-10024,Back-Office/ERP,25.6,15.1,6.6,True,None,2024-06-16
POL-2020025,INS-10025,Trading/OMS,2.7,0.7,39.0,True,Multi-Vendor,2024-03-15
POL-2020025,INS-10025,Back-Office/ERP,24.4,14.1,3.4,True,None,2023-02-19
POL-2020025,INS-10025,Market Data Infrastructure,2.7,1.5,10.2,True,Single Vendor,2024-04-15
POL-2020025,INS-10025,Email & Productivity,33.0,17.4,3.6,True,Single Vendor,2023-10-07
POL-2020025,INS-10025,Settlement & Clearing,4.0,1.1,26.4,True,None,2023-03-26
POL-2020026,INS-10026,Core Banking Platform,7.9,1.0,48.6,True,None,2024-03-30
POL-2020026,INS-10026,Back-Office/ERP,39.1,14.2,3.4,False,None,2024-03-04
POL-2020026,INS-10026,Email & Productivity,26.2,9.3,2.7,False,None,2023-11-03
POL-2020026,INS-10026,Payment Processing,7.9,0.8,31.5,False,Multi-Vendor,2023-03-01
POL-2020026,INS-10026,Customer Digital Channels,5.7,6.5,15.2,True,None,2024-10-12
POL-2020027,INS-10027,Trading/OMS,1.7,0.6,54.8,True,Single Vendor,2023-07-19
POL-2020027,INS-10027,Back-Office/ERP,20.1,8.0,3.0,False,Single Vendor,2024-09-22
POL-2020027,INS-10027,Market Data Infrastructure,3.9,1.5,17.6,True,Multi-Vendor,2024-09-19
POL-2020027,INS-10027,Email & Productivity,37.1,10.7,3.2,False,Single Vendor,2023-10-03
POL-2020027,INS-10027,Settlement & Clearing,3.5,1.2,26.4,True,Single Vendor,2023-07-04
POL-2020028,INS-10028,Core Banking Platform,5.7,0.9,22.0,True,None,2024-06-28
POL-2020028,INS-10028,Back-Office/ERP,41.7,13.1,3.3,True,None,2023-09-04
POL-2020028,INS-10028,Email & Productivity,20.8,22.3,3.6,False,Single Vendor,2023-06-28
POL-2020028,INS-10028,Payment Processing,8.0,1.0,29.7,True,Multi-Vendor,2023-01-05
POL-2020028,INS-10028,Customer Digital Channels,8.1,6.0,13.8,False,Single Vendor,2023-03-23
POL-2020029,INS-10029,Core Banking Platform,3.5,0.8,40.4,True,None,2023-11-12
POL-2020029,INS-10029,Back-Office/ERP,32.2,12.0,6.5,True,Single Vendor,2023-12-17
POL-2020029,INS-10029,Email & Productivity,39.9,15.6,4.2,True,Single Vendor,2024-09-06
POL-2020029,INS-10029,Payment Processing,5.2,0.8,41.8,True,Multi-Vendor,2023-12-13
POL-2020029,INS-10029,Customer Digital Channels,5.8,5.7,16.9,True,Single Vendor,2024-08-21
POL-2020030,INS-10030,Email & Productivity,32.5,17.1,2.4,False,Single Vendor,2023-06-28
POL-2020030,INS-10030,Back-Office/ERP,34.2,13.5,4.1,False,Multi-Vendor,2024-01-23
POL-2020031,INS-10031,Trading/OMS,2.4,0.5,56.5,True,Single Vendor,2023-06-18
POL-2020031,INS-10031,Back-Office/ERP,39.4,14.7,3.7,True,None,2023-09-02
POL-2020031,INS-10031,Market Data Infrastructure,1.6,0.9,10.9,False,None,2023-08-15
POL-2020031,INS-10031,Email & Productivity,33.4,23.5,2.7,False,Multi-Vendor,2023-12-13
POL-2020031,INS-10031,Settlement & Clearing,7.8,0.7,33.5,False,Single Vendor,2024-01-03
POL-2020032,INS-10032,Core Banking Platform,3.7,1.9,22.6,True,None,2023-03-26
POL-2020032,INS-10032,Back-Office/ERP,46.4,7.7,4.2,True,Multi-Vendor,2023-05-23
POL-2020032,INS-10032,Email & Productivity,32.1,14.3,3.4,False,None,2023-02-17
POL-2020032,INS-10032,Payment Processing,7.9,1.5,35.3,True,None,2024-09-11
POL-2020032,INS-10032,Customer Digital Channels,6.5,6.1,19.3,False,None,2024-12-07
POL-2020033,INS-10033,Core Banking Platform,7.4,1.2,40.0,False,None,2024-03-29
POL-2020033,INS-10033,Back-Office/ERP,23.9,8.3,4.5,True,Single Vendor,2023-10-30
POL-2020033,INS-10033,Email & Productivity,26.3,12.4,1.9,False,Multi-Vendor,2023-05-23
POL-2020033,INS-10033,Payment Processing,7.2,0.8,39.3,False,None,2023-11-06
POL-2020033,INS-10033,Customer Digital Channels,6.9,3.1,21.0,True,Single Vendor,2024-07-08
POL-2020034,INS-10034,Core Banking Platform,5.4,1.3,37.1,False,None,2023-05-03
POL-2020034,INS-10034,Back-Office/ERP,25.8,12.5,5.0,True,None,2024-08-27
POL-2020034,INS-10034,Email & Productivity,27.2,21.3,3.5,True,Single Vendor,2024-01-27
POL-2020034,INS-10034,Payment Processing,4.8,1.8,40.1,False,Single Vendor,2023-01-06
POL-2020034,INS-10034,Customer Digital Channels,11.2,3.9,26.7,True,None,2023-12-30
POL-2020035,INS-10035,Core Banking Platform,3.8,0.8,30.2,False,None,2023-05-05
POL-2020035,INS-10035,Back-Office/ERP,39.5,15.2,5.5,False,Multi-Vendor,2023-06-10
POL-2020035,INS-10035,Email & Productivity,46.5,9.8,1.9,False,Single Vendor,2024-06-28
POL-2020035,INS-10035,Payment Processing,5.9,2.0,30.1,False,Single Vendor,2023-01-08
POL-2020035,INS-10035,Customer Digital Channels,6.1,4.0,15.9,True,None,2024-03-04
POL-2020036,INS-10036,Core Banking Platform,4.6,0.8,46.3,True,Multi-Vendor,2023-02-19
POL-2020036,INS-10036,Back-Office/ERP,32.9,12.6,3.3,True,None,2024-10-20
POL-2020036,INS-10036,Email & Productivity,18.5,17.5,3.9,True,Single Vendor,2024-09-25
POL-2020036,INS-10036,Payment Processing,5.5,1.8,37.5,True,Multi-Vendor,2024-05-13
POL-2020036,INS-10036,Customer Digital Channels,6.4,3.9,22.5,True,None,2023-01-03
POL-2020037,INS-10037,Payment Processing,5.1,1.1,28.0,True,None,2023-07-08
POL-2020037,INS-10037,Customer Digital Channels,10.2,7.5,13.7,False,Multi-Vendor,2023-12-16
POL-2020037,INS-10037,Email & Productivity,25.5,16.8,3.5,False,Single Vendor,2023-05-30
POL-2020037,INS-10037,Back-Office/ERP,36.5,15.4,6.2,True,Single Vendor,2024-01-21
POL-2020038,INS-10038,Payment Processing,5.7,1.0,28.8,False,Multi-Vendor,2023-10-15
POL-2020038,INS-10038,Customer Digital Channels,12.8,7.2,27.4,False,None,2024-06-10
POL-2020038,INS-10038,Email & Productivity,35.7,16.6,1.8,False,Single Vendor,2024-09-06
POL-2020038,INS-10038,Back-Office/ERP,19.0,7.2,3.2,True,Multi-Vendor,2024-04-05
POL-2020039,INS-10039,Core Banking Platform,4.9,1.1,38.8,False,Multi-Vendor,2023-05-27
POL-2020039,INS-10039,Back-Office/ERP,33.5,11.8,4.9,True,Single Vendor,2023-12-19
POL-2020039,INS-10039,Email & Productivity,25.5,23.3,2.0,False,None,2023-05-20
POL-2020039,INS-10039,Payment Processing,7.7,1.1,30.3,False,None,2024-01-30
POL-2020039,INS-10039,Customer Digital Channels,6.7,3.2,18.9,False,Single Vendor,2024-04-21
POL-2020040,INS-10040,Trading/OMS,3.3,0.5,47.2,False,Multi-Vendor,2023-03-19
POL-2020040,INS-10040,Back-Office/ERP,25.5,9.6,6.6,True,Single Vendor,2023-10-24
POL-2020040,INS-10040,Market Data Infrastructure,3.6,1.4,11.9,True,Single Vendor,2023-09-08
POL-2020040,INS-10040,Email & Productivity,22.8,23.3,2.3,False,Multi-Vendor,2023-05-02
POL-2020040,INS-10040,Settlement & Clearing,7.0,1.2,34.7,False,Single Vendor,2023-07-20
POL-2020041,INS-10041,Core Banking Platform,4.7,1.2,38.8,False,Multi-Vendor,2023-04-17
POL-2020041,INS-10041,Trading/OMS,3.9,1.0,52.5,False,Multi-Vendor,2024-04-07
POL-2020041,INS-10041,Back-Office/ERP,40.3,11.5,6.0,False,Single Vendor,2024-03-06
POL-2020041,INS-10041,Market Data Infrastructure,3.6,1.3,16.4,True,Single Vendor,2023-03-01
POL-2020041,INS-10041,Email & Productivity,33.6,17.2,3.9,True,Multi-Vendor,2024-04-27
POL-2020041,INS-10041,Payment Processing,4.6,1.0,29.0,False,Single Vendor,2023-03-10
POL-2020041,INS-10041,Customer Digital Channels,7.8,5.4,26.5,True,Multi-Vendor,2023-06-13
POL-2020041,INS-10041,Settlement & Clearing,6.0,1.8,18.3,False,Multi-Vendor,2024-10-25
POL-2020042,INS-10042,Email & Productivity,44.9,17.8,1.9,True,Multi-Vendor,2023-02-26
POL-2020042,INS-10042,Back-Office/ERP,36.6,15.5,3.3,False,None,2024-10-01
POL-2020043,INS-10043,Core Banking Platform,5.8,1.9,21.3,True,None,2023-09-09
POL-2020043,INS-10043,Back-Office/ERP,36.5,10.5,4.4,True,None,2024-02-05
POL-2020043,INS-10043,Email & Productivity,36.4,9.2,3.6,False,Multi-Vendor,2024-11-27
POL-2020043,INS-10043,Payment Processing,2.8,1.1,30.1,False,None,2024-01-31
POL-2020043,INS-10043,Customer Digital Channels,9.5,4.4,25.3,False,Single Vendor,2024-10-09
POL-2020044,INS-10044,Trading/OMS,3.8,0.9,45.8,True,Single Vendor,2023-09-09
POL-2020044,INS-10044,Back-Office/ERP,44.4,15.2,4.6,True,None,2024-12-01
POL-2020044,INS-10044,Market Data Infrastructure,2.1,0.8,14.7,True,Multi-Vendor,2023-12-31
POL-2020044,INS-10044,Email & Productivity,46.3,17.2,3.4,False,None,2023-05-22
POL-2020044,INS-10044,Settlement & Clearing,3.4,0.9,24.3,True,Multi-Vendor,2024-06-13
POL-2020045,INS-10045,Trading/OMS,3.9,0.6,58.6,True,Multi-Vendor,2024-06-08
POL-2020045,INS-10045,Back-Office/ERP,20.6,12.0,5.4,True,None,2024-05-24
POL-2020045,INS-10045,Market Data Infrastructure,3.6,0.7,11.3,True,Single Vendor,2023-06-05
POL-2020045,INS-10045,Email & Productivity,23.7,23.2,2.2,False,None,2023-01-23
POL-2020045,INS-10045,Settlement & Clearing,3.0,1.4,25.6,True,Multi-Vendor,2023-09-08
POL-2020046,INS-10046,Core Banking Platform,7.2,1.9,36.1,False,Single Vendor,2023-09-09
POL-2020046,INS-10046,Back-Office/ERP,45.8,13.1,4.1,False,Multi-Vendor,2024-08-01
POL-2020046,INS-10046,Email & Productivity,45.8,18.8,2.8,False,None,2023-09-07
POL-2020046,INS-10046,Payment Processing,6.3,1.2,20.7,False,None,2023-08-01
POL-2020046,INS-10046,Customer Digital Channels,13.1,7.1,23.7,True,Single Vendor,2023-12-19
POL-2020047,INS-10047,Payment Processing,4.0,1.9,18.6,True,Multi-Vendor,2024-05-29
POL-2020047,INS-10047,Customer Digital Channels,9.1,4.2,12.8,False,Single Vendor,2024-09-19
POL-2020047,INS-10047,Email & Productivity,29.5,18.1,3.9,True,Single Vendor,2024-07-02
POL-2020047,INS-10047,Back-Office/ERP,47.7,14.0,4.9,False,None,2024-05-17
POL-2020048,INS-10048,Email & Productivity,39.4,21.6,2.9,False,None,2024-11-30
POL-2020048,INS-10048,Back-Office/ERP,41.3,10.6,4.5,False,Single Vendor,2024-08-06
POL-2020049,INS-10049,Core Banking Platform,5.5,1.6,41.4,True,Single Vendor,2023-08-04
POL-2020049,INS-10049,Back-Office/ERP,27.9,11.5,6.6,False,None,2023-02-12
POL-2020049,INS-10049,Email & Productivity,47.3,11.9,2.3,True,Single Vendor,2024-11-14
POL-2020049,INS-10049,Payment Processing,6.3,1.2,18.6,False,Single Vendor,2023-12-28
POL-2020049,INS-10049,Customer Digital Channels,9.2,7.0,24.8,True,Single Vendor,2024-02-07
POL-2020050,INS-10050,Core Banking Platform,5.4,1.3,37.2,True,Single Vendor,2024-03-31
POL-2020050,INS-10050,Back-Office/ERP,23.6,11.1,3.0,False,None,2024-01-13
POL-2020050,INS-10050,Email & Productivity,31.6,13.6,3.4,True,None,2024-05-14
POL-2020050,INS-10050,Payment Processing,6.1,1.2,18.2,True,Single Vendor,2023-11-20
POL-2020050,INS-10050,Customer Digital Channels,8.2,6.1,13.2,False,None,2023-09-12
POL-2020051,INS-10051,Core Banking Platform,3.4,1.5,42.2,True,Single Vendor,2024-11-19
POL-2020051,INS-10051,Back-Office/ERP,26.8,10.7,6.8,True,Single Vendor,2024-09-20
POL-2020051,INS-10051,Email & Productivity,46.3,13.2,3.7,False,Single Vendor,2023-09-24
POL-2020051,INS-10051,Payment Processing,5.9,2.0,29.5,False,Multi-Vendor,2023-10-28
POL-2020051,INS-10051,Customer Digital Channels,13.7,6.8,20.0,False,None,2023-06-18
POL-2020052,INS-10052,Core Banking Platform,6.9,1.0,24.4,True,Multi-Vendor,2023-10-22
POL-2020052,INS-10052,Back-Office/ERP,30.1,15.4,5.0,False,None,2023-01-23
POL-2020052,INS-10052,Email & Productivity,36.6,18.1,2.1,True,Multi-Vendor,2023-05-22
POL-2020052,INS-10052,Payment Processing,4.8,1.6,41.3,True,Single Vendor,2024-08-15
POL-2020052,INS-10052,Customer Digital Channels,7.3,4.9,13.5,True,Multi-Vendor,2024-03-04
POL-2020053,INS-10053,Core Banking Platform,4.1,1.2,36.1,True,Multi-Vendor,2023-12-08
POL-2020053,INS-10053,Trading/OMS,2.0,0.5,55.0,False,None,2024-11-19
POL-2020053,INS-10053,Back-Office/ERP,46.8,9.0,5.8,True,Single Vendor,2023-05-10
POL-2020053,INS-10053,Market Data Infrastructure,2.1,1.9,17.1,False,Single Vendor,2024-12-29
POL-2020053,INS-10053,Email & Productivity,41.8,9.2,3.2,False,Multi-Vendor,2023-08-25
POL-2020053,INS-10053,Payment Processing,5.5,1.1,24.3,False,Multi-Vendor,2023-01-23
POL-2020053,INS-10053,Customer Digital Channels,11.6,6.5,12.5,False,Multi-Vendor,2023-08-09
POL-2020053,INS-10053,Settlement & Clearing,5.8,0.9,17.8,True,Single Vendor,2023-05-22
POL-2020054,INS-10054,Core Banking Platform,6.0,1.1,33.3,True,Multi-Vendor,2023-04-23
POL-2020054,INS-10054,Back-Office/ERP,28.0,12.3,4.9,True,Multi-Vendor,2024-01-16
POL-2020054,INS-10054,Email & Productivity,46.9,13.9,3.6,False,None,2023-05-31
POL-2020054,INS-10054,Payment Processing,4.1,1.4,31.3,False,Single Vendor,2024-05-20
POL-2020054,INS-10054,Customer Digital Channels,9.0,5.3,16.5,False,Multi-Vendor,2024-12-17
POL-2020055,INS-10055,Trading/OMS,1.4,0.5,52.2,True,Multi-Vendor,2023-01-07
POL-2020055,INS-10055,Back-Office/ERP,40.9,8.5,4.6,True,Single Vendor,2024-05-19
POL-2020055,INS-10055,Market Data Infrastructure,1.5,1.0,18.4,True,Single Vendor,2023-05-21
POL-2020055,INS-10055,Email & Productivity,35.7,11.6,2.4,True,Multi-Vendor,2023-10-26
POL-2020055,INS-10055,Settlement & Clearing,7.0,1.0,21.7,False,None,2024-04-14
POL-2020056,INS-10056,Core Banking Platform,6.3,1.4,33.9,True,None,2024-10-27
POL-2020056,INS-10056,Back-Office/ERP,44.9,7.9,6.0,False,None,2023-04-06
POL-2020056,INS-10056,Email & Productivity,21.8,18.0,3.9,True,Multi-Vendor,2024-11-27
POL-2020056,INS-10056,Payment Processing,5.2,1.6,37.7,False,None,2023-09-06
POL-2020056,INS-10056,Customer Digital Channels,7.0,6.5,26.7,True,Multi-Vendor,2023-06-09
POL-2020057,INS-10057,Core Banking Platform,5.8,0.9,24.6,False,Multi-Vendor,2024-12-16
POL-2020057,INS-10057,Back-Office/ERP,24.9,6.7,5.1,False,Single Vendor,2023-03-07
POL-2020057,INS-10057,Email & Productivity,19.0,11.9,2.9,False,Single Vendor,2024-05-14
POL-2020057,INS-10057,Payment Processing,5.3,1.4,34.9,False,Multi-Vendor,2024-03-31
POL-2020057,INS-10057,Customer Digital Channels,6.1,3.2,13.0,True,None,2024-02-21
POL-2020058,INS-10058,Core Banking Platform,5.0,0.8,41.9,False,Multi-Vendor,2023-05-24
POL-2020058,INS-10058,Back-Office/ERP,23.8,15.4,4.9,False,Multi-Vendor,2024-03-12
POL-2020058,INS-10058,Email & Productivity,30.7,20.6,3.5,True,None,2023-03-10
POL-2020058,INS-10058,Payment Processing,6.0,1.9,28.1,False,None,2023-01-28
POL-2020058,INS-10058,Customer Digital Channels,14.0,4.8,25.4,False,None,2024-11-23
POL-2020059,INS-10059,Core Banking Platform,4.1,1.1,40.0,False,Multi-Vendor,2023-10-02
POL-2020059,INS-10059,Back-Office/ERP,23.4,8.0,4.2,True,Single Vendor,2024-07-10
POL-2020059,INS-10059,Email & Productivity,38.0,22.3,3.4,True,None,2024-03-09
POL-2020059,INS-10059,Payment Processing,7.1,1.4,19.7,False,Multi-Vendor,2024-08-13
POL-2020059,INS-10059,Customer Digital Channels,6.6,5.7,17.2,True,Multi-Vendor,2023-06-20
POL-2020060,INS-10060,Core Banking Platform,3.9,1.3,39.7,False,Multi-Vendor,2024-07-07
POL-2020060,INS-10060,Back-Office/ERP,28.8,13.9,6.0,False,Single Vendor,2024-10-15
POL-2020060,INS-10060,Email & Productivity,39.7,23.8,2.5,True,None,2024-01-26
POL-2020060,INS-10060,Payment Processing,6.2,1.8,31.9,True,Single Vendor,2024-10-17
POL-2020060,INS-10060,Customer Digital Channels,13.8,5.0,21.4,False,Multi-Vendor,2023-10-20
POL-2020061,INS-10061,Trading/OMS,1.5,1.0,55.8,False,Multi-Vendor,2023-05-17
POL-2020061,INS-10061,Back-Office/ERP,43.9,12.8,3.7,True,Single Vendor,2024-03-05
POL-2020061,INS-10061,Market Data Infrastructure,1.5,1.8,13.8,True,Multi-Vendor,2023-02-23
POL-2020061,INS-10061,Email & Productivity,25.0,17.2,2.8,True,None,2023-05-30
POL-2020061,INS-10061,Settlement & Clearing,6.2,1.3,28.9,True,Single Vendor,2023-04-06
