policy_id,insured_id,sub_sector,primary_regulator,region,inception_date,expiration_date,policy_year,revenue_mm,employees,assets_mm,limit_mm,retention_mm,premium_usd,has_trading_desk,processes_payments,custodial_aum_bn,core_banking_vendor,n_third_party_vendors,cloud_provider_primary,mfa_coverage_pct,edr_deployed,soc_24_7,control_maturity_nist,prior_incidents_3yr,n_claims,total_loss,bi_loss,n_findings,n_high_sev,n_med_sev,had_claim,log_revenue
POL-2020010,INS-10010,Community Bank,NCUA,West,2023-10-03,2024-10-02,2023,69.0,311,1028.1,5,0.058,62766,False,True,0.0,Jack Henry,61,Hybrid,62.8,False,True,2.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0,4.248495242049359
POL-2020011,INS-10011,Insurance Carrier,FDIC,Midwest,2024-05-25,2025-05-25,2024,4497.0,43202,7382.1,15,0.136,9828117,False,False,0.0,,129,On-Prem,96.6,True,True,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.411388132519262
POL-2020012,INS-10012,Insurance Carrier,FDIC,National,2022-09-25,2023-09-25,2022,1821.5,13543,3064.0,2,0.094,934284,False,False,0.0,,24,GCP,82.5,True,True,4.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0,7.507964463882813
POL-2020013,INS-10013,Community Bank,OCC,West,2022-03-18,2023-03-18,2022,90.5,494,1183.9,100,2.026,472877,False,True,0.0,Jack Henry,54,On-Prem,84.8,True,False,2.6,0,1.0,3559508.0,1638723.0,0.0,0.0,0.0,1,4.516338972281476
POL-2020014,INS-10014,Fintech-Lending,SEC,Northeast,2022-04-02,2023-04-02,2022,649.8,3141,1575.3,2,0.069,482388,False,False,0.0,,18,AWS,60.4,True,False,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.478202375344883
POL-2020015,INS-10015,Custodian Bank,FRB,West,2024-03-05,2025-03-05,2024,6103.0,18057,82779.1,50,0.847,25749272,False,False,27.6,Other,27,Hybrid,91.0,True,True,2.3,0,0.0,0.0,0.0,2.0,0.0,2.0,0,8.716699572964293
POL-2020016,INS-10016,Asset Manager,CFPB,West,2021-12-10,2022-12-10,2021,1607.6,4189,4549.1,5,0.237,1883463,True,False,15.2,,29,On-Prem,92.6,True,True,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.383119514469969
POL-2020017,INS-10017,Community Bank,OCC,Northeast,2024-09-08,2025-09-08,2024,88.1,214,1056.4,10,0.471,130069,False,True,0.0,In-House,39,AWS,76.4,True,False,2.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.489759334476764
POL-2020018,INS-10018,Fintech-Lending,CFPB,Southeast,2020-09-08,2021-09-08,2020,119.3,829,312.6,5,0.091,187317,False,False,0.0,,50,Hybrid,85.6,True,False,4.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.789988622980633
POL-2020019,INS-10019,Hedge Fund,State,Northeast,2023-04-26,2024-04-25,2023,198.9,723,384.1,10,0.31,334556,True,False,0.0,,7,On-Prem,88.5,True,True,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.297817241506355
POL-2020020,INS-10020,Fintech-Lending,State,Northeast,2020-11-21,2021-11-21,2020,138.1,724,152.4,250,8.258,1760339,False,False,0.0,,223,On-Prem,98.7,True,False,3.4,0,1.0,11190.0,1093.0,0.0,0.0,0.0,1,4.935193098929397
POL-2020021,INS-10021,Regional Bank,State,Southeast,2021-04-18,2022-04-18,2021,393.1,1501,5445.2,5,0.031,461743,False,True,0.0,Jack Henry,17,On-Prem,92.2,True,False,2.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5.976604684200958
POL-2020022,INS-10022,Asset Manager,OCC,Southeast,2024-02-02,2025-02-01,2024,1121.7,8685,2821.9,15,0.488,2091437,False,False,0.8,,22,Azure,75.7,True,True,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.023491777464733
POL-2020023,INS-10023,Fintech-Lending,CFPB,Midwest,2020-03-13,2021-03-13,2020,114.7,206,125.1,1,0.033,64877,False,False,0.0,,11,On-Prem,96.8,True,False,2.3,0,0.0,0.0,0.0,2.0,0.0,2.0,0,4.751000634199631
POL-2020024,INS-10024,Insurance Carrier,FINRA,Midwest,2024-11-23,2025-11-23,2024,4172.7,15392,8975.3,10,0.314,7379924,False,False,0.0,,34,Azure,96.1,False,True,3.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,8.336558211551488
POL-2020025,INS-10025,Hedge Fund,FRB,West,2022-01-02,2023-01-02,2022,450.1,1482,471.0,10,0.194,1005581,True,False,0.0,,39,AWS,67.0,False,True,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.111689044414351
POL-2020026,INS-10026,Regional Bank,FINRA,West,2021-07-04,2022-07-04,2021,760.5,2183,11357.0,100,3.878,5142654,False,True,0.0,Finastra,21,AWS,87.4,True,True,4.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.635290172335217
POL-2020027,INS-10027,Hedge Fund,CFPB,Southwest,2024-06-09,2025-06-09,2024,242.9,976,677.9,2,0.084,173485,True,False,0.0,,69,Azure,85.1,True,True,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.496758305221874
POL-2020028,INS-10028,Community Bank,FDIC,Northeast,2020-01-15,2021-01-14,2020,271.8,1760,3676.7,10,0.389,413549,False,True,0.0,Finastra,12,Azure,91.0,True,True,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.608738925969307
POL-2020029,INS-10029,Community Bank,NCUA,West,2020-04-12,2021-04-12,2020,70.9,362,915.1,5,0.048,55535,False,True,0.0,In-House,98,GCP,76.4,True,False,1.9,3,0.0,0.0,0.0,3.0,1.0,1.0,0,4.275276264727001
POL-2020030,INS-10030,Broker-Dealer,SEC,Southeast,2020-11-27,2021-11-27,2020,303.9,911,561.7,10,0.4,571877,False,False,0.0,,27,GCP,80.5,True,True,4.3,0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.719983853994209
POL-2020031,INS-10031,Hedge Fund,CFPB,National,2022-05-20,2023-05-20,2022,502.2,1923,726.8,2,0.036,430268,True,False,0.0,,45,GCP,70.5,True,True,3.6,0,0.0,0.0,0.0,1.0,0.0,1.0,0,6.22098770538623
POL-2020032,INS-10032,Credit Union,NCUA,Midwest,2020-02-21,2021-02-20,2020,73.1,522,158.5,5,0.127,65773,False,True,0.0,FIS,71,AWS,69.2,True,True,3.1,0,1.0,470635.0,202962.0,3.0,1.0,0.0,1,4.3054155323020415
POL-2020033,INS-10033,Custodian Bank,FRB,West,2021-12-15,2022-12-15,2021,3136.1,9259,40415.3,10,0.488,5622277,False,False,9.3,FIS,7,AWS,92.0,True,False,3.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,8.051054085272654
POL-2020034,INS-10034,Credit Union,NCUA,West,2024-01-27,2025-01-26,2024,32.0,266,34.9,5,0.235,31040,False,True,0.0,Fiserv,31,On-Prem,62.8,True,True,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.4965075614664802
POL-2020035,INS-10035,Credit Union,NCUA,National,2020-06-07,2021-06-07,2020,148.6,569,445.7,15,0.659,274154,False,True,0.0,FIS,31,GCP,81.6,True,False,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.007965065540377
POL-2020036,INS-10036,Investment Bank,OCC,Southeast,2024-12-05,2025-12-05,2024,7959.0,18414,83626.3,100,3.523,70953772,False,False,0.0,Temenos,50,AWS,90.8,True,False,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.982184278838428
POL-2020037,INS-10037,Fintech-Payments,State,Midwest,2023-11-28,2024-11-27,2023,403.3,2432,426.5,15,0.347,1038035,False,True,0.0,,37,Azure,69.9,True,True,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.002157176646725
POL-2020038,INS-10038,Fintech-Lending,CFPB,Midwest,2023-04-07,2024-04-06,2023,73.8,420,189.5,25,0.517,276588,False,False,0.0,,29,GCP,96.7,True,False,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.314817884980432
POL-2020039,INS-10039,Community Bank,FDIC,Midwest,2021-07-11,2022-07-11,2021,74.9,298,725.1,5,0.099,71494,False,True,0.0,Jack Henry,45,Hybrid,92.3,True,False,3.1,0,0.0,0.0,0.0,1.0,1.0,0.0,0,4.3294166844015844
POL-2020040,INS-10040,Asset Manager,SEC,West,2020-02-09,2021-02-08,2020,1586.5,5307,2470.5,2,0.025,823709,True,False,3.6,,30,On-Prem,74.7,True,False,1.1,0,1.0,405495.0,0.0,0.0,0.0,0.0,1,7.369915730766847
POL-2020041,INS-10041,Investment Bank,FRB,Southwest,2024-02-13,2025-02-12,2024,7458.5,48303,107746.3,50,0.434,47546400,True,False,0.0,FIS,30,Hybrid,88.9,False,True,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.917243666822904
POL-2020042,INS-10042,Insurance Carrier,CFPB,National,2021-06-14,2022-06-14,2021,13141.5,46422,32787.3,100,2.16,79408735,False,False,0.0,,52,AWS,92.4,True,True,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.483606532693603
POL-2020043,INS-10043,Community Bank,FRB,Southeast,2023-06-13,2024-06-12,2023,47.6,132,488.1,15,0.33,70241,False,True,0.0,Temenos,19,On-Prem,72.0,True,False,4.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0,3.883623530906448
POL-2020044,INS-10044,Broker-Dealer,FINRA,Southwest,2022-07-18,2023-07-18,2022,740.7,2099,1380.2,25,0.785,2566583,True,False,0.0,,24,Hybrid,65.3,True,True,4.9,1,0.0,0.0,0.0,2.0,0.0,0.0,0,6.608944848742513
POL-2020045,INS-10045,Asset Manager,FRB,Midwest,2021-09-16,2022-09-16,2021,720.1,2618,1130.7,25,0.297,1713211,True,False,2.8,,22,Hybrid,90.6,True,False,3.0,3,1.0,210858.0,63685.0,0.0,0.0,0.0,1,6.5807778239227135
POL-2020046,INS-10046,Regional Bank,FINRA,Southeast,2021-11-10,2022-11-10,2021,366.9,1793,4403.3,2,0.094,218936,False,True,0.0,FIS,15,AWS,92.4,True,True,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.907811162110729
POL-2020047,INS-10047,Fintech-Lending,SEC,Southeast,2020-08-14,2021-08-14,2020,41.0,181,53.7,50,0.899,238228,False,False,0.0,,16,On-Prem,98.2,True,True,2.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.7376696182833684
POL-2020048,INS-10048,Broker-Dealer,SEC,National,2020-02-25,2021-02-24,2020,1115.8,3341,3190.1,5,0.118,1288112,False,False,0.0,,232,Hybrid,89.7,True,True,3.3,0,0.0,0.0,0.0,3.0,0.0,1.0,0,7.018222732008108
POL-2020049,INS-10049,Credit Union,NCUA,National,2020-08-05,2021-08-05,2020,64.4,245,85.5,25,1.02,130984,False,True,0.0,Finastra,36,Hybrid,88.2,True,False,4.0,0,0.0,0.0,0.0,2.0,0.0,1.0,0,4.180522258463153
POL-2020050,INS-10050,Credit Union,NCUA,West,2024-12-17,2025-12-17,2024,58.1,210,93.1,5,0.11,49456,False,True,0.0,Temenos,93,Azure,61.2,True,True,3.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.079230924412053
POL-2020051,INS-10051,Community Bank,NCUA,National,2021-11-09,2022-11-09,2021,20.6,45,254.2,25,0.282,54355,False,True,0.0,Fiserv,82,GCP,85.7,True,False,2.2,1,1.0,37128.0,15439.0,1.0,0.0,1.0,1,3.0726933146901194
POL-2020052,INS-10052,Community Bank,FRB,Southeast,2022-06-18,2023-06-18,2022,47.4,346,651.7,1,0.044,15587,False,True,0.0,Temenos,45,Azure,90.9,True,True,3.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.879499813722586
POL-2020053,INS-10053,Investment Bank,FRB,West,2024-08-14,2025-08-14,2024,3149.7,14864,29201.4,1,0.025,1613262,True,False,0.0,In-House,148,AWS,73.1,False,False,3.4,0,1.0,2146685.0,446431.0,0.0,0.0,0.0,1,8.055379929354201
POL-2020054,INS-10054,National Bank,FDIC,National,2020-06-10,2021-06-10,2020,97697.4,408269,1265246.8,250,9.087,1422889470,False,True,0.0,In-House,59,Hybrid,93.5,True,False,3.4,1,0.0,0.0,0.0,1.0,0.0,0.0,0,11.48964046123352
POL-2020055,INS-10055,Asset Manager,CFPB,Southwest,2022-07-16,2023-07-16,2022,949.8,10488,1586.5,1,0.025,311047,True,False,16.2,,14,Azure,73.9,True,False,3.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.857303735486039
POL-2020056,INS-10056,Custodian Bank,OCC,National,2024-01-13,2025-01-12,2024,6051.2,13267,87161.0,25,0.283,15675741,False,False,7.3,Temenos,11,Azure,97.9,False,True,2.3,1,0.0,0.0,0.0,2.0,2.0,0.0,0,8.708177121288845
POL-2020057,INS-10057,Community Bank,State,Midwest,2022-04-15,2023-04-15,2022,105.6,306,1284.9,5,0.249,96478,False,True,0.0,Other,29,On-Prem,82.5,True,True,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.669083511731744
POL-2020058,INS-10058,Regional Bank,FDIC,National,2024-01-12,2025-01-11,2024,455.5,5093,5089.3,2,0.025,291724,False,True,0.0,FIS,13,AWS,40.8,False,True,2.9,2,1.0,541634.0,143759.0,1.0,1.0,0.0,1,6.1235887000350235
POL-2020059,INS-10059,Regional Bank,FDIC,West,2021-04-05,2022-04-05,2021,506.1,2825,4602.0,10,0.234,652023,False,True,0.0,Fiserv,11,On-Prem,73.0,True,False,3.8,0,0.0,0.0,0.0,2.0,0.0,1.0,0,6.228708222800973
POL-2020060,INS-10060,Community Bank,FRB,Midwest,2024-12-23,2025-12-23,2024,39.3,163,379.9,2,0.026,21785,False,True,0.0,FIS,29,Hybrid,85.1,True,True,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.696351468952637
POL-2020061,INS-10061,Broker-Dealer,SEC,Midwest,2023-07-23,2024-07-22,2023,1417.7,4359,1660.2,2,0.091,830257,True,False,0.0,,15,Hybrid,94.3,True,False,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.25749623831794
POL-2020062,INS-10062,Hedge Fund,CFPB,National,2020-06-18,2021-06-18,2020,593.4,4017,1079.3,5,0.085,815679,True,False,0.0,,8,GCP,39.4,True,True,2.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.3875524934035495
POL-2020063,INS-10063,Asset Manager,NCUA,Southwest,2023-06-21,2024-06-20,2023,1136.5,4758,1747.2,50,1.207,3841150,True,False,9.3,,185,Azure,83.6,True,False,3.0,0,0.0,0.0,0.0,2.0,0.0,1.0,0,7.036588150825105
POL-2020064,INS-10064,Community Bank,SEC,Midwest,2024-08-15,2025-08-15,2024,56.0,164,494.2,5,0.029,58357,False,True,0.0,Other,8,Azure,73.3,True,True,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.04305126783455
POL-2020065,INS-10065,Fintech-Lending,CFPB,Midwest,2021-08-19,2022-08-19,2021,247.4,1466,334.2,10,0.32,562539,False,False,0.0,,29,AWS,91.1,True,True,3.2,1,0.0,0.0,0.0,1.0,0.0,1.0,0,5.515040350059324
POL-2020066,INS-10066,Asset Manager,SEC,West,2022-05-11,2023-05-11,2022,378.3,1909,603.1,5,0.113,412439,True,False,1.8,,11,Azure,87.1,True,False,3.8,0,0.0,0.0,0.0,4.0,1.0,1.0,0,5.938327448694853
POL-2020067,INS-10067,Asset Manager,NCUA,Northeast,2021-12-16,2022-12-16,2021,633.2,2659,768.2,15,0.41,1356547,True,False,0.6,,72,AWS,86.5,True,True,1.8,1,1.0,4463169.0,3093442.0,1.0,0.0,1.0,1,6.452364362104247
POL-2020068,INS-10068,Community Bank,CFPB,Southwest,2024-06-16,2025-06-16,2024,60.9,157,526.2,10,0.316,80270,False,True,0.0,In-House,69,Hybrid,74.1,True,False,3.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.12552017969055
POL-2020069,INS-10069,Community Bank,CFPB,Northeast,2022-04-04,2023-04-04,2022,111.7,623,1066.6,15,0.244,196424,False,True,0.0,In-House,47,Hybrid,84.6,False,False,3.6,2,1.0,31953.0,25242.0,0.0,0.0,0.0,1,4.724729421045731
POL-2020070,INS-10070,Community Bank,SEC,Northeast,2023-05-24,2024-05-23,2023,68.2,275,563.3,10,0.194,104971,False,True,0.0,Other,33,Azure,64.7,True,True,2.3,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4.237000862623624
POL-2020071,INS-10071,Community Bank,OCC,West,2024-03-09,2025-03-09,2024,166.8,786,2065.2,1,0.041,54389,False,True,0.0,Jack Henry,7,Azure,73.1,True,False,3.3,3,1.0,69852.0,0.0,0.0,0.0,0.0,1,5.122772794033106
POL-2020072,INS-10072,Regional Bank,FRB,Midwest,2020-10-10,2021-10-10,2020,1198.6,3898,16919.1,10,0.266,1923082,False,True,0.0,Fiserv,102,AWS,93.5,True,False,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.089743446874854
POL-2020073,INS-10073,Regional Bank,OCC,Southeast,2020-07-16,2021-07-16,2020,390.2,1044,5819.5,1,0.025,125887,False,True,0.0,Fiserv,17,Hybrid,86.4,False,True,3.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,5.969218938160663
POL-2020074,INS-10074,Community Bank,FINRA,West,2024-07-20,2025-07-20,2024,47.2,120,689.1,10,0.496,59329,False,True,0.0,Temenos,44,On-Prem,70.5,False,True,2.7,0,1.0,84405.0,60193.0,0.0,0.0,0.0,1,3.8753590210565547
POL-2020075,INS-10075,Hedge Fund,FDIC,Southeast,2023-05-19,2024-05-18,2023,220.8,684,611.1,10,0.076,512016,False,False,0.0,,85,Azure,92.2,True,True,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.401776074916267
POL-2020076,INS-10076,Community Bank,NCUA,National,2024-02-06,2025-02-05,2024,61.8,268,534.0,1,0.032,22068,False,True,0.0,Finastra,9,On-Prem,72.5,True,True,3.7,0,0.0,0.0,0.0,2.0,0.0,2.0,0,4.139955073474153
POL-2020077,INS-10077,Insurance Carrier,FINRA,Southwest,2023-02-22,2024-02-22,2023,6058.5,22578,14824.2,100,2.177,34041307,False,False,0.0,,17,AWS,77.1,True,False,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.709382567408541
POL-2020078,INS-10078,Credit Union,NCUA,Midwest,2021-02-02,2022-02-02,2021,41.9,137,64.3,2,0.071,21316,False,True,0.0,Finastra,76,Hybrid,80.0,False,True,3.6,1,0.0,0.0,0.0,2.0,0.0,2.0,0,3.758871825933971
POL-2020079,INS-10079,Asset Manager,NCUA,West,2022-12-13,2023-12-13,2022,1373.6,8224,3793.5,100,3.887,7427551,True,False,73.5,,28,AWS,89.7,False,False,3.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7.225918058687505
POL-2020080,INS-10080,Broker-Dealer,SEC,National,2020-02-08,2021-02-07,2020,793.0,3231,1798.5,100,3.343,5346919,False,False,0.0,,109,GCP,80.5,True,False,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.677083461247136
POL-2020081,INS-10081,Community Bank,FRB,West,2024-11-15,2025-11-15,2024,111.6,480,1430.2,50,0.481,466161,False,True,0.0,Temenos,28,On-Prem,78.2,False,True,2.6,0,0.0,0.0,0.0,1.0,1.0,0.0,0,4.72384171570559
POL-2020082,INS-10082,Investment Bank,FRB,Southwest,2022-11-04,2023-11-04,2022,3916.7,18218,31940.2,50,1.956,18548775,True,False,0.0,Jack Henry,29,On-Prem,75.9,True,True,4.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0,8.273260025894471
POL-2020083,INS-10083,Asset Manager,State,Northeast,2022-05-11,2023-05-11,2022,427.6,1593,1009.6,2,0.082,214612,False,False,1.6,,58,Hybrid,60.2,True,True,3.8,0,0.0,0.0,0.0,1.0,0.0,0.0,0,6.060524083039477
POL-2020084,INS-10084,Asset Manager,OCC,West,2024-08-21,2025-08-21,2024,842.8,2063,1532.8,5,0.087,996196,True,False,89.1,,27,Azure,83.1,False,True,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.737915499690239
POL-2020085,INS-10085,Insurance Carrier,FINRA,National,2020-01-21,2021-01-20,2020,3884.2,18651,9796.1,10,0.397,6675041,False,False,0.0,,15,Azure,81.6,True,True,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.264929741528176
POL-2020086,INS-10086,Investment Bank,FDIC,Southwest,2021-02-15,2022-02-15,2021,3650.1,30006,30841.4,100,1.402,31188870,False,False,0.0,In-House,9,GCP,89.0,True,True,1.5,0,0.0,0.0,0.0,4.0,4.0,0.0,0,8.202783771036776
POL-2020087,INS-10087,Fintech-Lending,CFPB,Southeast,2023-04-15,2024-04-14,2023,161.7,245,386.5,10,0.32,323298,False,False,0.0,,44,Hybrid,92.8,True,False,3.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5.091908014224992
POL-2020088,INS-10088,Fintech-Lending,SEC,Midwest,2022-07-11,2023-07-11,2022,896.4,3553,913.9,100,3.661,7837937,False,False,0.0,,39,AWS,71.0,True,True,3.1,0,0.0,0.0,0.0,1.0,0.0,1.0,0,6.799501693541883
POL-2020089,INS-10089,Hedge Fund,CFPB,West,2023-03-15,2024-03-14,2023,355.6,929,497.9,10,0.36,783707,True,False,0.0,,101,On-Prem,66.6,True,True,3.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5.8766147054290405
POL-2020090,INS-10090,Community Bank,State,Northeast,2021-10-13,2022-10-13,2021,145.4,469,1720.5,2,0.025,86929,False,True,0.0,Jack Henry,28,On-Prem,70.2,True,False,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.986342601527212
POL-2020091,INS-10091,National Bank,OCC,Southwest,2021-08-02,2022-08-02,2021,13529.6,44594,200658.3,100,4.423,89847975,False,True,0.0,FIS,14,Hybrid,79.4,False,True,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,9.512709066079587
POL-2020092,INS-10092,Regional Bank,SEC,Midwest,2021-02-16,2022-02-16,2021,321.5,1611,2641.0,25,0.89,731439,False,True,0.0,Finastra,26,On-Prem,55.1,True,False,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.776103136235827
POL-2020093,INS-10093,Fintech-Lending,CFPB,West,2024-07-11,2025-07-11,2024,83.1,740,228.3,10,0.376,178059,False,False,0.0,,28,AWS,78.0,True,True,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.432006566978902
POL-2020094,INS-10094,Insurance Carrier,FDIC,Southwest,2022-04-24,2023-04-24,2022,7223.8,39428,20357.1,25,0.273,20664567,False,False,0.0,,21,Azure,73.7,True,False,2.9,0,1.0,139925.0,4058.0,0.0,0.0,0.0,1,8.88527483093659
POL-2020095,INS-10095,Regional Bank,FRB,Southeast,2020-05-12,2021-05-12,2020,575.7,3522,6995.1,5,0.141,555904,False,True,0.0,Finastra,24,On-Prem,62.8,True,False,2.1,1,1.0,733763.0,322839.0,0.0,0.0,0.0,1,6.357322200621367
POL-2020096,INS-10096,Community Bank,FINRA,Southwest,2020-10-28,2021-10-28,2020,75.3,364,691.9,5,0.078,58732,False,True,0.0,Finastra,6,Azure,95.9,True,False,2.8,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4.334672938290411
POL-2020097,INS-10097,Asset Manager,FRB,Midwest,2020-08-10,2021-08-10,2020,1486.9,9698,4069.0,15,0.395,3000740,True,False,13.1,,46,Hybrid,83.0,True,False,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.305121008833652
POL-2020098,INS-10098,Insurance Carrier,NCUA,Northeast,2023-05-07,2024-05-06,2023,3262.4,12383,6572.0,500,23.512,49156138,False,False,0.0,,14,Azure,83.0,True,True,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.09052487565697
POL-2020099,INS-10099,Community Bank,SEC,Northeast,2022-01-27,2023-01-27,2022,71.2,195,616.4,15,0.53,145822,False,True,0.0,Finastra,55,AWS,52.2,False,False,4.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4.279440045898781
POL-2020100,INS-10100,Fintech-Lending,State,National,2022-04-20,2023-04-20,2022,285.6,2987,303.0,25,1.103,1090969,False,False,0.0,,31,Azure,78.0,True,False,2.2,0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.6580875153940715
POL-2020101,INS-10101,Insurance Carrier,SEC,Southwest,2021-11-04,2022-11-04,2021,8414.6,37989,24859.7,50,2.499,28738416,False,False,0.0,,18,AWS,88.8,True,False,3.7,0,0.0,0.0,0.0,2.0,0.0,1.0,0,9.037842405330865
