finding_id,insured_id,policy_id,examining_agency,exam_date,severity_label,control_area,finding_text
FND-50017,INS-10172,POL-2021272,SEC,2021-08-03,Medium,identity and access management,An MRA has been issued related to identity and access management. Examiners found that controls over segregation of duties in critical systems are not commensurate with the institution's risk profile and complexity.
FND-50018,INS-10259,POL-2020259,OCC,2021-03-25,Medium,vulnerability management,An MRA has been issued related to vulnerability management. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50019,INS-10259,POL-2020259,OCC,2020-05-26,Medium,business continuity planning,"Examiners identified deficiencies in the institution's business continuity planning. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50020,INS-10259,POL-2020259,OCC,2021-07-11,Low,business continuity planning,The institution maintains adequate controls over business continuity planning. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50021,INS-10888,POL-2020888,State,2023-03-17,Low,identity and access management,The institution maintains adequate controls over identity and access management. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50022,INS-10888,POL-2020888,State,2022-01-27,Low,vulnerability management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vulnerability management, which management has committed to address by next examination cycle."
FND-50023,INS-10888,POL-2020888,State,2023-08-07,Low,data classification and handling,The institution maintains adequate controls over data classification and handling. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50024,INS-10332,POL-2021432,FRB,2019-07-25,Medium,cloud security governance,"Examiners identified deficiencies in the institution's cloud security governance. Specifically, the institution lacks documented procedures for multi-factor authentication for administrative access. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50025,INS-10332,POL-2021432,FRB,2020-06-03,Low,third-party risk management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in third-party risk management, which management has committed to address by next examination cycle."
FND-50026,INS-10712,POL-2020712,CFPB,2020-12-14,Low,cloud security governance,Review of cloud security governance found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50027,INS-10282,POL-2021382,FINRA,2020-04-30,Low,logging and monitoring,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in logging and monitoring, which management has committed to address by next examination cycle."
FND-50028,INS-10070,POL-2020070,SEC,2022-03-29,Medium,third-party risk management,An MRA has been issued related to third-party risk management. Examiners found that controls over segregation of duties in critical systems are not commensurate with the institution's risk profile and complexity.
FND-50029,INS-10168,POL-2021268,NCUA,2022-11-16,Medium,cloud security governance,An MRA has been issued related to cloud security governance. Examiners found that controls over multi-factor authentication for administrative access are not commensurate with the institution's risk profile and complexity.
FND-50030,INS-10391,POL-2021491,CFPB,2020-08-18,Low,privileged access controls,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in privileged access controls, which management has committed to address by next examination cycle."
FND-50031,INS-10607,POL-2020607,FRB,2021-07-12,Low,patch management program,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in patch management program, which management has committed to address by next examination cycle."
FND-50032,INS-10433,POL-2020433,State,2023-05-11,High,vendor due diligence procedures,"The examination identified material weaknesses in the institution's vendor due diligence procedures. Specifically, the institution has not adequately addressed prior examination findings regarding log retention and review. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50033,INS-10433,POL-2020433,State,2021-10-16,Medium,third-party risk management,The examination identified weaknesses in third-party risk management that warrant management attention. Testing revealed that periodic access recertification is not consistently performed across business lines. Remediation plan must be submitted.
FND-50034,INS-10051,POL-2020051,NCUA,2020-09-26,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for testing of incident response procedures. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50035,INS-10099,POL-2021199,State,2019-01-03,High,vulnerability management,"The examination identified material weaknesses in the institution's vulnerability management. Specifically, the institution has not adequately addressed prior examination findings regarding segregation of duties in critical systems. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50036,INS-10028,POL-2021128,State,2019-09-06,Low,patch management program,The institution maintains adequate controls over patch management program. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50037,INS-10090,POL-2021190,OCC,2021-01-31,Medium,third-party risk management,An MRA has been issued related to third-party risk management. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50038,INS-10149,POL-2021249,FRB,2018-11-30,Medium,data classification and handling,The examination identified weaknesses in data classification and handling that warrant management attention. Testing revealed that periodic access recertification is not consistently performed across business lines. Remediation plan must be submitted.
FND-50039,INS-10149,POL-2021249,FRB,2019-04-28,Medium,logging and monitoring,An MRA has been issued related to logging and monitoring. Examiners found that controls over periodic access recertification are not commensurate with the institution's risk profile and complexity.
FND-50040,INS-10149,POL-2021249,FRB,2018-11-24,Low,privileged access controls,The institution maintains adequate controls over privileged access controls. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50041,INS-10319,POL-2021419,CFPB,2021-01-04,Medium,privileged access controls,"Examiners identified deficiencies in the institution's privileged access controls. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50042,INS-10432,POL-2020432,SEC,2021-12-07,Low,incident response capabilities,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in incident response capabilities, which management has committed to address by next examination cycle."
FND-50043,INS-10352,POL-2021452,SEC,2020-05-31,Low,vulnerability management,Review of vulnerability management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50044,INS-10352,POL-2021452,SEC,2019-08-12,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that segregation of duties in critical systems is not consistently performed across business lines. Remediation plan must be submitted.
FND-50045,INS-10352,POL-2021452,SEC,2020-08-08,High,identity and access management,"The examination identified material weaknesses in the institution's identity and access management. Specifically, the institution has not adequately addressed prior examination findings regarding remediation of known critical vulnerabilities. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50046,INS-10370,POL-2021470,NCUA,2023-04-22,Medium,cloud security governance,An MRA has been issued related to cloud security governance. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50047,INS-10134,POL-2021234,State,2019-10-05,Low,patch management program,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in patch management program, which management has committed to address by next examination cycle."
FND-50048,INS-10181,POL-2021281,State,2023-08-12,High,privileged access controls,Examiners conclude that the institution's practices in privileged access controls represent an unsafe and unsound condition. The institution has failed to multi-factor authentication for administrative access. A consent order is under consideration.
FND-50049,INS-10181,POL-2021281,State,2024-05-22,Medium,identity and access management,"Examiners identified deficiencies in the institution's identity and access management. Specifically, the institution lacks documented procedures for fourth-party risk assessment. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50050,INS-11085,POL-2021085,CFPB,2023-01-17,High,vendor due diligence procedures,Examiners conclude that the institution's practices in vendor due diligence procedures represent an unsafe and unsound condition. The institution has failed to encryption of data at rest. A consent order is under consideration.
FND-50051,INS-10610,POL-2020610,FRB,2020-05-11,High,logging and monitoring,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in logging and monitoring, including failure to periodic access recertification. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50052,INS-10184,POL-2021284,FINRA,2019-12-11,High,patch management program,"The examination identified material weaknesses in the institution's patch management program. Specifically, the institution has not adequately addressed prior examination findings regarding testing of incident response procedures. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50053,INS-11041,POL-2021041,FINRA,2020-01-01,Medium,patch management program,"Examiners identified deficiencies in the institution's patch management program. Specifically, the institution lacks documented procedures for fourth-party risk assessment. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50054,INS-11041,POL-2021041,FINRA,2020-02-13,Low,business continuity planning,The institution maintains adequate controls over business continuity planning. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50055,INS-10220,POL-2020220,SEC,2022-12-30,High,third-party risk management,Examiners conclude that the institution's practices in third-party risk management represent an unsafe and unsound condition. The institution has failed to timely application of security patches. A consent order is under consideration.
FND-50056,INS-10339,POL-2020339,FRB,2022-02-21,Medium,data loss prevention controls,The examination identified weaknesses in data loss prevention controls that warrant management attention. Testing revealed that remediation of known critical vulnerabilities is not consistently performed across business lines. Remediation plan must be submitted.
FND-50057,INS-10423,POL-2020423,FINRA,2021-04-25,Medium,identity and access management,"Examiners identified deficiencies in the institution's identity and access management. Specifically, the institution lacks documented procedures for timely application of security patches. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50058,INS-10423,POL-2020423,FINRA,2021-11-06,Low,vulnerability management,Review of vulnerability management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50059,INS-10423,POL-2020423,FINRA,2021-01-16,High,business continuity planning,"The examination identified material weaknesses in the institution's business continuity planning. Specifically, the institution has not adequately addressed prior examination findings regarding segregation of duties in critical systems. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50060,INS-10423,POL-2020423,FINRA,2022-03-30,Medium,third-party risk management,An MRA has been issued related to third-party risk management. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50061,INS-10428,POL-2020428,FRB,2021-01-14,Medium,identity and access management,The examination identified weaknesses in identity and access management that warrant management attention. Testing revealed that encryption of data at rest is not consistently performed across business lines. Remediation plan must be submitted.
FND-50062,INS-10005,POL-2021105,OCC,2019-05-29,Medium,identity and access management,The examination identified weaknesses in identity and access management that warrant management attention. Testing revealed that remediation of known critical vulnerabilities is not consistently performed across business lines. Remediation plan must be submitted.
FND-50063,INS-10076,POL-2020076,NCUA,2023-07-17,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for encryption of data at rest. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50064,INS-10076,POL-2020076,NCUA,2022-08-30,Medium,incident response capabilities,"Examiners identified deficiencies in the institution's incident response capabilities. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50065,INS-10291,POL-2021391,State,2019-05-03,Medium,vulnerability management,"Examiners identified deficiencies in the institution's vulnerability management. Specifically, the institution lacks documented procedures for periodic access recertification. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50066,INS-10291,POL-2021391,State,2020-06-25,High,privileged access controls,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in privileged access controls, including failure to timely application of security patches. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50067,INS-10439,POL-2020439,FINRA,2023-03-27,Low,business continuity planning,Review of business continuity planning found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50068,INS-10236,POL-2021336,FINRA,2020-03-01,Medium,incident response capabilities,An MRA has been issued related to incident response capabilities. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50069,INS-10236,POL-2021336,FINRA,2021-08-12,Medium,business continuity planning,The examination identified weaknesses in business continuity planning that warrant management attention. Testing revealed that fourth-party risk assessment is not consistently performed across business lines. Remediation plan must be submitted.
FND-50070,INS-10236,POL-2021336,FINRA,2020-05-29,Low,vendor due diligence procedures,Review of vendor due diligence procedures found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50071,INS-10864,POL-2020864,NCUA,2023-01-21,Low,identity and access management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in identity and access management, which management has committed to address by next examination cycle."
FND-50072,INS-10864,POL-2020864,NCUA,2021-08-07,Medium,vendor due diligence procedures,The examination identified weaknesses in vendor due diligence procedures that warrant management attention. Testing revealed that timely application of security patches is not consistently performed across business lines. Remediation plan must be submitted.
FND-50073,INS-10864,POL-2020864,NCUA,2022-06-15,Low,vulnerability management,Review of vulnerability management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50074,INS-11080,POL-2021080,FINRA,2023-06-07,Medium,data classification and handling,An MRA has been issued related to data classification and handling. Examiners found that controls over log retention and review are not commensurate with the institution's risk profile and complexity.
FND-50075,INS-11080,POL-2021080,FINRA,2024-02-29,High,incident response capabilities,Examiners conclude that the institution's practices in incident response capabilities represent an unsafe and unsound condition. The institution has failed to fourth-party risk assessment. A consent order is under consideration.
FND-50076,INS-10354,POL-2020354,NCUA,2021-05-25,Low,business continuity planning,The institution maintains adequate controls over business continuity planning. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50077,INS-10354,POL-2020354,NCUA,2020-09-03,Low,incident response capabilities,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in incident response capabilities, which management has committed to address by next examination cycle."
FND-50078,INS-10354,POL-2020354,NCUA,2021-07-25,Low,vulnerability management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vulnerability management, which management has committed to address by next examination cycle."
FND-50079,INS-10365,POL-2020365,CFPB,2018-09-19,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50080,INS-10309,POL-2020309,CFPB,2023-05-18,Low,vendor due diligence procedures,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vendor due diligence procedures, which management has committed to address by next examination cycle."
FND-50081,INS-10736,POL-2020736,NCUA,2023-04-24,Low,privileged access controls,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in privileged access controls, which management has committed to address by next examination cycle."
FND-50082,INS-10736,POL-2020736,NCUA,2023-10-15,Low,logging and monitoring,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in logging and monitoring, which management has committed to address by next examination cycle."
FND-50083,INS-10736,POL-2020736,NCUA,2024-08-16,Medium,incident response capabilities,"Examiners identified deficiencies in the institution's incident response capabilities. Specifically, the institution lacks documented procedures for multi-factor authentication for administrative access. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50084,INS-10998,POL-2020998,CFPB,2022-06-18,High,patch management program,"The examination identified material weaknesses in the institution's patch management program. Specifically, the institution has not adequately addressed prior examination findings regarding remediation of known critical vulnerabilities. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50085,INS-10998,POL-2020998,CFPB,2023-11-27,Medium,third-party risk management,An MRA has been issued related to third-party risk management. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50086,INS-10621,POL-2020621,FINRA,2019-04-18,Medium,vendor due diligence procedures,The examination identified weaknesses in vendor due diligence procedures that warrant management attention. Testing revealed that fourth-party risk assessment is not consistently performed across business lines. Remediation plan must be submitted.
FND-50087,INS-10621,POL-2020621,FINRA,2020-03-30,High,third-party risk management,Examiners conclude that the institution's practices in third-party risk management represent an unsafe and unsound condition. The institution has failed to remediation of known critical vulnerabilities. A consent order is under consideration.
FND-50088,INS-10543,POL-2020543,FRB,2023-01-25,Low,third-party risk management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in third-party risk management, which management has committed to address by next examination cycle."
FND-50089,INS-10040,POL-2021140,CFPB,2021-09-14,Low,vendor due diligence procedures,The institution maintains adequate controls over vendor due diligence procedures. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50090,INS-10040,POL-2021140,CFPB,2020-09-03,High,vendor due diligence procedures,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in vendor due diligence procedures, including failure to segregation of duties in critical systems. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50091,INS-10196,POL-2021296,SEC,2019-04-12,High,incident response capabilities,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in incident response capabilities, including failure to segregation of duties in critical systems. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50092,INS-10554,POL-2020554,State,2018-06-09,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50093,INS-10679,POL-2020679,OCC,2022-05-03,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that log retention and review is not consistently performed across business lines. Remediation plan must be submitted.
FND-50094,INS-10049,POL-2020049,NCUA,2018-12-17,Low,privileged access controls,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in privileged access controls, which management has committed to address by next examination cycle."
FND-50095,INS-10049,POL-2020049,NCUA,2020-02-09,Medium,data classification and handling,The examination identified weaknesses in data classification and handling that warrant management attention. Testing revealed that periodic access recertification is not consistently performed across business lines. Remediation plan must be submitted.
FND-50096,INS-10490,POL-2020490,FRB,2020-02-11,Medium,vulnerability management,"Examiners identified deficiencies in the institution's vulnerability management. Specifically, the institution lacks documented procedures for log retention and review. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50097,INS-10316,POL-2020316,SEC,2023-10-05,Low,vulnerability management,Review of vulnerability management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50098,INS-10904,POL-2020904,State,2020-07-15,Low,business continuity planning,Review of business continuity planning found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50099,INS-10636,POL-2020636,FDIC,2022-03-03,Medium,data classification and handling,The examination identified weaknesses in data classification and handling that warrant management attention. Testing revealed that periodic access recertification is not consistently performed across business lines. Remediation plan must be submitted.
FND-50100,INS-10560,POL-2020560,OCC,2019-04-13,Medium,privileged access controls,An MRA has been issued related to privileged access controls. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50101,INS-10560,POL-2020560,OCC,2019-05-18,Low,third-party risk management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in third-party risk management, which management has committed to address by next examination cycle."
FND-50102,INS-10560,POL-2020560,OCC,2018-06-27,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50103,INS-10486,POL-2020486,FINRA,2021-07-29,Medium,privileged access controls,An MRA has been issued related to privileged access controls. Examiners found that controls over fourth-party risk assessment are not commensurate with the institution's risk profile and complexity.
FND-50104,INS-10486,POL-2020486,FINRA,2021-02-15,Medium,privileged access controls,An MRA has been issued related to privileged access controls. Examiners found that controls over documented recovery time objectives are not commensurate with the institution's risk profile and complexity.
FND-50105,INS-10067,POL-2020067,NCUA,2020-03-03,Medium,vulnerability management,"Examiners identified deficiencies in the institution's vulnerability management. Specifically, the institution lacks documented procedures for testing of incident response procedures. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50106,INS-10811,POL-2020811,OCC,2019-01-24,High,patch management program,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in patch management program, including failure to testing of incident response procedures. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50107,INS-10493,POL-2020493,SEC,2018-09-30,Low,data loss prevention controls,Review of data loss prevention controls found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50108,INS-10310,POL-2020310,OCC,2020-03-06,Medium,identity and access management,"Examiners identified deficiencies in the institution's identity and access management. Specifically, the institution lacks documented procedures for timely application of security patches. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50109,INS-10310,POL-2020310,OCC,2019-06-29,Medium,data loss prevention controls,"Examiners identified deficiencies in the institution's data loss prevention controls. Specifically, the institution lacks documented procedures for segregation of duties in critical systems. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50110,INS-11096,POL-2021096,OCC,2020-06-03,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50111,INS-10147,POL-2021247,State,2019-11-04,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that timely application of security patches is not consistently performed across business lines. Remediation plan must be submitted.
FND-50112,INS-10147,POL-2021247,State,2020-08-20,High,cloud security governance,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in cloud security governance, including failure to log retention and review. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50113,INS-10147,POL-2021247,State,2019-09-01,High,vulnerability management,"The examination identified material weaknesses in the institution's vulnerability management. Specifically, the institution has not adequately addressed prior examination findings regarding encryption of data at rest. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50114,INS-10147,POL-2021247,State,2020-02-10,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that documented recovery time objectives is not consistently performed across business lines. Remediation plan must be submitted.
FND-50115,INS-10184,POL-2020184,FDIC,2024-06-09,Medium,patch management program,An MRA has been issued related to patch management program. Examiners found that controls over remediation of known critical vulnerabilities are not commensurate with the institution's risk profile and complexity.
FND-50116,INS-10184,POL-2020184,FDIC,2023-05-06,Medium,third-party risk management,The examination identified weaknesses in third-party risk management that warrant management attention. Testing revealed that testing of incident response procedures is not consistently performed across business lines. Remediation plan must be submitted.
FND-50117,INS-10306,POL-2020306,CFPB,2020-08-11,Low,data classification and handling,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in data classification and handling, which management has committed to address by next examination cycle."
FND-50118,INS-10306,POL-2020306,CFPB,2021-03-08,Low,vulnerability management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vulnerability management, which management has committed to address by next examination cycle."
FND-50119,INS-10306,POL-2020306,CFPB,2021-02-07,Medium,vulnerability management,The examination identified weaknesses in vulnerability management that warrant management attention. Testing revealed that segregation of duties in critical systems is not consistently performed across business lines. Remediation plan must be submitted.
FND-50120,INS-10852,POL-2020852,FRB,2021-12-24,Low,vendor due diligence procedures,Review of vendor due diligence procedures found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50121,INS-10852,POL-2020852,FRB,2022-12-31,Medium,incident response capabilities,An MRA has been issued related to incident response capabilities. Examiners found that controls over encryption of data at rest are not commensurate with the institution's risk profile and complexity.
FND-50122,INS-10792,POL-2020792,FRB,2019-07-14,Medium,cloud security governance,"Examiners identified deficiencies in the institution's cloud security governance. Specifically, the institution lacks documented procedures for segregation of duties in critical systems. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50123,INS-10792,POL-2020792,FRB,2019-09-23,Medium,privileged access controls,The examination identified weaknesses in privileged access controls that warrant management attention. Testing revealed that testing of incident response procedures is not consistently performed across business lines. Remediation plan must be submitted.
FND-50124,INS-10289,POL-2020289,State,2019-11-12,Low,vendor due diligence procedures,The institution maintains adequate controls over vendor due diligence procedures. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50125,INS-10706,POL-2020706,NCUA,2020-06-19,High,vulnerability management,"The examination identified material weaknesses in the institution's vulnerability management. Specifically, the institution has not adequately addressed prior examination findings regarding multi-factor authentication for administrative access. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50126,INS-10229,POL-2021329,SEC,2021-02-16,Medium,logging and monitoring,"Examiners identified deficiencies in the institution's logging and monitoring. Specifically, the institution lacks documented procedures for encryption of data at rest. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50127,INS-10229,POL-2021329,SEC,2020-01-14,Low,vendor due diligence procedures,Review of vendor due diligence procedures found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50128,INS-10229,POL-2021329,SEC,2020-10-21,High,incident response capabilities,"The examination identified material weaknesses in the institution's incident response capabilities. Specifically, the institution has not adequately addressed prior examination findings regarding periodic access recertification. An MRIA is being issued and elevated supervisory attention is warranted."
