policy_id,insured_id,sub_sector,primary_regulator,region,policy_year,cloud_provider_primary,core_banking_vendor,premium_usd,n_claims,had_claim,total_loss,bi_loss,log_revenue,exposure_size_score,cyber_control_score,control_gap_score,vendor_control_pressure,vendor_pressure_band,regulatory_findings_pressure,high_sev_rate,critical_operations_score,payment_trading_flag,coverage_structure_score,limit_to_revenue,retention_ratio,prior_incident_score,repeat_offender,hybrid_cloud_flag,core_banking_vendor_missing,exposure_years,loss_ratio,bi_share_of_loss,limit_mm,retention_mm
POL-2020032,INS-10032,Credit Union,NCUA,Midwest,2020,AWS,FIS,65773,1.0,1,470635.0,202962.0,4.3054155323020415,-1.1090435330213209,0.771,0.22899999999999998,22.1875,Extreme,2.19496607177316,0.25,1,0,-0.2537041394677304,0.06839945280437756,0.0254,0.0,0,0,0,0.999315537303217,7.155443723108267,0.43125139439268223,5,0.127
POL-2020033,INS-10033,Custodian Bank,FRB,West,2021,AWS,FIS,5622277,0.0,0,0.0,0.0,8.051054085272654,1.1214304474705117,0.718,0.28200000000000003,1.8918918918918919,Low,0.0,0.0,1,0,-0.6646599515587522,0.0031886738305538726,0.048799999999999996,1.0986122886681098,1,0,0,0.999315537303217,0.0,0.0,10,0.488
POL-2020034,INS-10034,Credit Union,NCUA,West,2024,On-Prem,Fiserv,31040,0.0,0,0.0,0.0,3.4965075614664802,-1.6508924465156696,0.755,0.245,9.6875,Moderate,0.0,0.0,1,0,-0.7343449939403607,0.15625,0.047,0.0,0,0,0,0.999315537303217,0.0,0.0,5,0.235
POL-2020035,INS-10035,Credit Union,NCUA,National,2020,GCP,FIS,274154,0.0,0,0.0,0.0,5.007965065540377,-0.778343766752256,0.6279999999999999,0.3720000000000001,10.689655172413794,Moderate,0.0,0.0,1,0,-0.48853067286196206,0.1009421265141319,0.04393333333333334,0.0,0,0,0,0.999315537303217,0.0,0.0,15,0.659
POL-2020036,INS-10036,Investment Bank,OCC,Southeast,2024,AWS,Temenos,70953772,0.0,0,0.0,0.0,8.982184278838428,1.5604819259740499,0.7709999999999999,0.2290000000000001,11.363636363636365,Moderate,0.0,0.0,0,0,0.038717918724195055,0.012564392511622063,0.035230000000000004,0.0,0,0,0,0.999315537303217,0.0,0.0,100,3.523
POL-2020037,INS-10037,Fintech-Payments,State,Midwest,2023,Azure,Unknown,1038035,0.0,0,0.0,0.0,6.002157176646725,-0.3124505649148412,0.86075,0.13924999999999998,8.604651162790699,Moderate,0.0,0.0,1,0,-0.025691331517947724,0.03719315645921151,0.023133333333333332,0.0,0,0,1,0.999315537303217,0.0,0.0,15,0.347
POL-2020038,INS-10038,Fintech-Lending,CFPB,Midwest,2023,GCP,Unknown,276588,0.0,0,0.0,0.0,4.314817884980432,-1.118293256006805,0.57775,0.42225,16.11111111111111,High,0.0,0.0,0,0,0.11679921079247274,0.33875338753387535,0.02068,0.0,0,0,1,0.999315537303217,0.0,0.0,25,0.517
POL-2020039,INS-10039,Community Bank,FDIC,Midwest,2021,Hybrid,Jack Henry,71494,0.0,0,0.0,0.0,4.3294166844015844,-0.9530940259904158,0.67875,0.32125000000000004,14.0625,High,1.6635532333438687,0.5,1,0,-0.129093547567419,0.06675567423230974,0.0198,0.0,0,1,0,0.999315537303217,0.0,0.0,5,0.099
POL-2020040,INS-10040,Asset Manager,SEC,West,2020,On-Prem,Unknown,823709,1.0,1,405495.0,0.0,7.369915730766847,0.40544476359475384,0.47475000000000006,0.52525,24.999999999999996,Extreme,0.0,0.0,2,0,-0.09214624668414317,0.0012606366214938543,0.0125,0.0,0,0,1,0.999315537303217,0.4922794336349366,0.0,2,0.025
POL-2020041,INS-10041,Investment Bank,FRB,Southwest,2024,Hybrid,FIS,47546400,0.0,0,0.0,0.0,8.917243666822904,1.7742943138915,0.66825,0.33175,7.894736842105263,Low,0.0,0.0,1,0,0.5057978478702475,0.0067037608098143055,0.00868,0.0,0,1,0,0.999315537303217,0.0,0.0,50,0.434
POL-2020042,INS-10042,Insurance Carrier,CFPB,National,2021,AWS,Unknown,79408735,0.0,0,0.0,0.0,9.483606532693603,1.6767460512731434,0.8450000000000001,0.15499999999999992,15.294117647058824,High,0.0,0.0,0,0,0.34201119865298907,0.007609481413841647,0.0216,0.0,0,0,1,0.999315537303217,0.0,0.0,100,2.16
POL-2020043,INS-10043,Community Bank,FRB,Southeast,2023,On-Prem,Temenos,70241,0.0,0,0.0,0.0,3.883623530906448,-1.2628566513880088,0.7,0.30000000000000004,4.634146341463415,Low,0.6931471805599453,0.0,1,0,-0.00047252125240865306,0.31512605042016806,0.022000000000000002,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,15,0.33
POL-2020044,INS-10044,Broker-Dealer,FINRA,Southwest,2022,Hybrid,Unknown,2566583,0.0,0,0.0,0.0,6.608944848742513,-0.020845401143082535,0.90525,0.09475,4.8,Low,1.0986122886681098,0.0,1,0,-0.12174106513098076,0.03375185635209936,0.031400000000000004,0.6931471805599453,0,1,1,0.999315537303217,0.0,0.0,25,0.785
POL-2020045,INS-10045,Asset Manager,FRB,Midwest,2021,Hybrid,Unknown,1713211,1.0,1,210858.0,63685.0,6.5807778239227135,-0.018247004565659142,0.6665,0.3335,7.096774193548387,Low,0.0,0.0,2,0,0.312615855207248,0.03471740036106096,0.01188,1.3862943611198906,1,1,1,0.999315537303217,0.12307765943599475,0.3020279050356164,25,0.297
POL-2020046,INS-10046,Regional Bank,FINRA,Southeast,2021,AWS,FIS,218936,0.0,0,0.0,0.0,5.907811162110729,0.0073285067478123245,0.8610000000000001,0.1389999999999999,4.166666666666667,Low,0.0,0.0,1,0,-0.8598365003557052,0.005451076587626056,0.047,0.0,0,0,0,0.999315537303217,0.0,0.0,2,0.094
POL-2020047,INS-10047,Fintech-Lending,SEC,Southeast,2020,On-Prem,Unknown,238228,0.0,0,0.0,0.0,3.7376696182833684,-1.6044706209942767,0.8115,0.1885,5.7142857142857135,Low,0.0,0.0,0,0,0.29885525775008737,1.2195121951219512,0.01798,0.6931471805599453,0,0,1,0.999315537303217,0.0,0.0,50,0.899
POL-2020048,INS-10048,Broker-Dealer,SEC,National,2020,Hybrid,Unknown,1288112,0.0,0,0.0,0.0,7.018222732008108,0.2910925407046368,0.83825,0.16174999999999995,68.23529411764706,Extreme,1.4729377586898837,0.0,0,0,-0.21365073492834466,0.004481089801039613,0.0236,0.0,0,1,1,0.999315537303217,0.0,0.0,5,0.118
POL-2020049,INS-10049,Credit Union,NCUA,National,2020,Hybrid,Finastra,130984,0.0,0,0.0,0.0,4.180522258463153,-1.3814200367723461,0.7405000000000002,0.25949999999999984,8.78048780487805,Moderate,1.1901633127237856,0.0,1,0,-0.33090884439221796,0.3881987577639751,0.0408,0.0,0,1,0,0.999315537303217,0.0,0.0,25,1.02
POL-2020050,INS-10050,Credit Union,NCUA,West,2024,Azure,Temenos,49456,0.0,0,0.0,0.0,4.079230924412053,-1.4164011581879512,0.8150000000000001,0.18499999999999994,23.25,Extreme,0.0,0.0,1,0,-0.17804770867111272,0.08605851979345955,0.022,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,5,0.11
POL-2020051,INS-10051,Community Bank,NCUA,National,2021,GCP,Fiserv,54355,1.0,1,37128.0,15439.0,3.0726933146901194,-1.7363129909978638,0.59025,0.40974999999999995,35.65217391304348,Extreme,0.7797905781299385,0.0,1,0,0.32596699005371,1.2135922330097086,0.011279999999999998,0.6931471805599453,0,0,0,0.999315537303217,0.6830650354153252,0.41583171730230556,25,0.282
POL-2020052,INS-10052,Community Bank,FRB,Southeast,2022,Azure,Temenos,15587,0.0,0,0.0,0.0,3.879499813722586,-1.0320407899800876,0.88925,0.11075000000000002,11.25,Moderate,0.0,0.0,1,0,-0.8664886515353803,0.02109704641350211,0.044,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,1,0.044
POL-2020053,INS-10053,Investment Bank,FRB,West,2024,AWS,In-House,1613262,1.0,1,2146685.0,446431.0,8.055379929354201,1.1571571359438317,0.45475,0.54525,42.285714285714285,Extreme,0.0,0.0,1,0,-0.44370271473075207,0.000317490554655999,0.025,0.0,0,0,0,0.999315537303217,1.3306487105008362,0.20796297547148276,1,0.025
POL-2020054,INS-10054,National Bank,FDIC,National,2020,Hybrid,In-House,1422889470,0.0,0,0.0,0.0,11.48964046123352,3.1092682111832612,0.7057499999999999,0.2942500000000001,16.857142857142858,High,0.6931471805599453,0.0,1,0,0.17865232416529853,0.0025589217317963427,0.036348,0.6931471805599453,0,1,0,0.999315537303217,0.0,0.0,250,9.087
POL-2020055,INS-10055,Asset Manager,CFPB,Southwest,2022,Azure,Unknown,311047,0.0,0,0.0,0.0,6.857303735486039,0.3582706115213907,0.6887500000000001,0.3112499999999999,3.58974358974359,Low,0.0,0.0,2,0,-0.44370271473075207,0.0010528532322594231,0.025,0.6931471805599453,0,0,1,0.999315537303217,0.0,0.0,1,0.025
POL-2020056,INS-10056,Custodian Bank,OCC,National,2024,Azure,Temenos,15675741,0.0,0,0.0,0.0,8.708177121288845,1.4507966565063757,0.57875,0.42125,4.583333333333334,Low,2.907660524008264,0.6666666666666666,1,0,0.3250769143972792,0.004131411951348493,0.011319999999999998,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,25,0.283
POL-2020057,INS-10057,Community Bank,State,Midwest,2022,On-Prem,Other,96478,0.0,0,0.0,0.0,4.669083511731744,-0.7835874824858746,0.77225,0.22775,10.357142857142856,Moderate,0.0,0.0,1,0,-0.7966502898905163,0.04734848484848485,0.0498,0.0,0,0,0,0.999315537303217,0.0,0.0,5,0.249
POL-2020058,INS-10058,Regional Bank,FDIC,National,2024,AWS,FIS,291724,1.0,1,541634.0,143759.0,6.1235887000350235,0.27340097522425205,0.484,0.516,4.333333333333333,Low,1.725936479594264,0.5,1,0,-0.09214624668414317,0.0043907793633369925,0.0125,1.0986122886681098,1,0,0,0.999315537303217,1.8566658896765436,0.2654172374703213,2,0.025
POL-2020059,INS-10059,Regional Bank,FDIC,West,2021,On-Prem,Fiserv,652023,0.0,0,0.0,0.0,6.228708222800973,0.16495080245875557,0.6865000000000001,0.3134999999999999,2.8205128205128207,Low,1.1961141292874042,0.0,1,0,-0.09946190972519653,0.019758940920766646,0.0234,0.0,0,0,0,0.999315537303217,0.0,0.0,10,0.234
POL-2020060,INS-10060,Community Bank,FRB,Midwest,2024,Hybrid,FIS,21785,0.0,0,0.0,0.0,3.696351468952637,-1.3025879182297457,0.79475,0.20525000000000004,9.666666666666666,Moderate,0.0,0.0,1,0,-0.10327219238952809,0.050890585241730284,0.013,0.0,0,1,0,0.999315537303217,0.0,0.0,2,0.026
POL-2020061,INS-10061,Broker-Dealer,SEC,Midwest,2023,Hybrid,Unknown,830257,0.0,0,0.0,0.0,7.25749623831794,0.27816861920129227,0.65175,0.34824999999999995,5.357142857142857,Low,0.0,0.0,1,0,-0.8264586632395503,0.0014107356986668548,0.0455,0.0,0,1,1,0.999315537303217,0.0,0.0,2,0.091
POL-2020062,INS-10062,Hedge Fund,CFPB,National,2020,GCP,Unknown,815679,0.0,0,0.0,0.0,6.3875524934035495,0.017039252887859884,0.6645,0.3355,2.8571428571428568,Low,0.0,0.0,1,0,-0.06678825161726323,0.008426019548365353,0.017,0.6931471805599453,0,0,1,0.999315537303217,0.0,0.0,5,0.085
POL-2020063,INS-10063,Asset Manager,NCUA,Southwest,2023,Azure,Unknown,3841150,0.0,0,0.0,0.0,7.036588150825105,0.2597324961513283,0.649,0.351,59.677419354838705,Extreme,1.2139665789782612,0.0,2,0,0.16178360665974467,0.04399472063352398,0.02414,0.0,0,0,1,0.999315537303217,0.0,0.0,50,1.207
POL-2020064,INS-10064,Community Bank,SEC,Midwest,2024,Azure,Other,58357,0.0,0,0.0,0.0,4.04305126783455,-1.1881020704129492,0.8212499999999999,0.17875000000000008,2.162162162162162,Low,0.0,0.0,1,0,0.18243293218335985,0.08928571428571429,0.0058000000000000005,0.0,0,0,0,0.999315537303217,0.0,0.0,5,0.029
POL-2020065,INS-10065,Fintech-Lending,CFPB,Midwest,2021,AWS,Unknown,562539,0.0,0,0.0,0.0,5.515040350059324,-0.546667724501312,0.8337500000000001,0.1662499999999999,8.787878787878787,Moderate,0.7875884839112379,0.0,0,0,-0.29082817585781773,0.04042037186742118,0.032,0.6931471805599453,0,0,1,0.999315537303217,0.0,0.0,10,0.32
POL-2020066,INS-10066,Asset Manager,SEC,West,2022,Azure,Unknown,412439,0.0,0,0.0,0.0,5.938327448694853,-0.31240027100347095,0.7217500000000001,0.2782499999999999,2.8205128205128207,Low,2.4123462509996623,0.2,2,0,-0.19139884351757472,0.013217023526301877,0.022600000000000002,0.0,0,0,1,0.999315537303217,0.0,0.0,5,0.113
POL-2020067,INS-10067,Asset Manager,NCUA,Northeast,2021,AWS,Unknown,1356547,1.0,1,4463169.0,3093442.0,6.452364362104247,-0.1063802952009546,0.7102499999999999,0.28975000000000006,37.89473684210526,Extreme,0.7875884839112379,0.0,2,0,-0.11914927544318143,0.023689197725837018,0.02733333333333333,0.6931471805599453,0,0,1,0.999315537303217,3.290095367134349,0.693104383903007,15,0.41
POL-2020068,INS-10068,Community Bank,CFPB,Southwest,2024,Hybrid,In-House,80270,0.0,0,0.0,0.0,4.12552017969055,-1.169365152591866,0.6652499999999999,0.3347500000000001,19.166666666666668,High,0.0,0.0,1,0,-0.28192741929350984,0.16420361247947454,0.0316,0.6931471805599453,0,1,0,0.999315537303217,0.0,0.0,10,0.316
POL-2020069,INS-10069,Community Bank,CFPB,Northeast,2022,Hybrid,In-House,196424,1.0,1,31953.0,25242.0,4.724729421045731,-0.6691385515978742,0.49949999999999994,0.5005000000000001,12.702702702702702,Moderate,0.0,0.0,1,0,0.12710498950267232,0.1342882721575649,0.016266666666666665,1.0986122886681098,1,1,0,0.999315537303217,0.16267360404023948,0.7899727725096235,15,0.244
POL-2020070,INS-10070,Community Bank,SEC,Northeast,2023,Azure,Other,104971,0.0,0,0.0,0.0,4.237000862623624,-1.0295063740009405,0.69575,0.30425,13.75,Moderate,0.7875884839112379,0.0,1,0,-0.010454344082116818,0.14662756598240467,0.0194,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,10,0.194
POL-2020071,INS-10071,Community Bank,OCC,West,2024,Azure,Jack Henry,54389,1.0,1,69852.0,0.0,5.122772794033106,-0.4338121482864074,0.6467499999999999,0.35325000000000006,2.058823529411765,Low,0.0,0.0,1,0,-0.7997329773030707,0.005995203836930456,0.041,1.3862943611198906,1,0,0,0.999315537303217,1.2843038114324588,0.0,1,0.041
POL-2020072,INS-10072,Regional Bank,FRB,Midwest,2020,AWS,Fiserv,1923082,0.0,0,0.0,0.0,7.089743446874854,0.6181881586943141,0.6657500000000001,0.33424999999999994,34.0,Extreme,0.0,0.0,1,0,-0.1706679622396603,0.00834306691139663,0.026600000000000002,0.0,0,0,0,0.999315537303217,0.0,0.0,10,0.266
POL-2020073,INS-10073,Regional Bank,OCC,Southeast,2020,Hybrid,Fiserv,125887,0.0,0,0.0,0.0,5.969218938160663,-0.0359993438042262,0.614,0.386,5.3125,Low,0.0,0.0,1,0,-0.44370271473075207,0.00256278831368529,0.025,1.0986122886681098,1,1,0,0.999315537303217,0.0,0.0,1,0.025
POL-2020074,INS-10074,Community Bank,FINRA,West,2024,On-Prem,Temenos,59329,1.0,1,84405.0,60193.0,3.8753590210565547,-1.2239747590437253,0.54225,0.45775,15.714285714285714,High,0.0,0.0,1,0,-0.6824614646873681,0.211864406779661,0.0496,0.0,0,0,0,0.999315537303217,1.422660081916095,0.7131449558675433,10,0.496
POL-2020075,INS-10075,Hedge Fund,FDIC,Southeast,2023,Azure,Unknown,512016,0.0,0,0.0,0.0,5.401776074916267,-0.6117479484173612,0.8604999999999999,0.13950000000000007,23.61111111111111,Extreme,0.0,0.0,0,0,0.2521179745649682,0.04528985507246377,0.0076,0.0,0,0,1,0.999315537303217,0.0,0.0,10,0.076
